species,node,fcv,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,n_recordings,level,window_config,root_area_id,normalization,node_class,cell_class,fcv_z,rank_high_to_low,percentile,global_rank_high_to_low,global_percentile,class_order,class_label,class_short,fine_class,analysis_note,shared_fine_order,shared_fine_label
C. elegans,RIS,0.9586480487944484,0.6190337477532756,-0.0931597218919479,0.5314600098273278,0.5059346444878415,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.2120156803536457,17,0.8666666666666667,30,0.8771186440677966,4,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
C. elegans,AVAL,0.9541331639757188,-1.0577515080913111,-1.3897406180383018,0.023278323915903,-0.2642536459629574,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.2062614500826263,18,0.8583333333333333,31,0.8728813559322034,1,sensorimotor output,sensorimotor output,locomotor command interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,AVBL,0.9244595349435024,-0.0656278450462523,-0.6814856633326419,1.6017573618646446,-0.0936744643796898,4,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.1684423469861651,19,0.85,32,0.8686440677966102,1,sensorimotor output,sensorimotor output,locomotor command interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,IL1R,0.9055717120515602,0.3130009440896273,-0.8533743167112325,0.6068082105246047,-0.1334212892116199,13,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,1.1443697766765974,20,0.8416666666666667,33,0.864406779661017,0,sensory input,sensory input,mechanosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
Zebrafish,rTh,0.9013717040253286,0.3217400484925911,0.2632932520803065,0.1006794952568121,-0.0885849494746338,7,root_area_from_louvain_communities,baseline_highpass,66.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.185197745913927,8,0.8571428571428571,34,0.8601694915254238,2,integrative relay,integrative relay,thalamic/pretectal,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Zebrafish,PO,0.8906418059514196,0.0001089255196086,-0.2226208399688361,-0.2665341932633315,0.2018593160586888,7,root_area_from_louvain_communities,baseline_highpass,25.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.172527682729223,9,0.8367346938775511,35,0.8559322033898306,4,state-dependent / modulatory,state-dependent / modulatory,hypothalamic / preoptic state,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
C. elegans,AIBR,0.8827592495661705,-0.4564328155579609,-1.342647067397087,0.9975964315583956,-0.1836121357217245,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.1152952448866897,21,0.8333333333333334,36,0.8516949152542372,3,associative / learning,associative / learning,associative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
Zebrafish,MOS3,0.88052138979676,0.4943150180626335,-0.3897729231405951,1.2101895584606168,-0.27239647616773,7,root_area_from_louvain_communities,baseline_highpass,4.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.1605773071290266,10,0.8163265306122449,37,0.847457627118644,1,sensorimotor output,sensorimotor output,hindbrain/reticular,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,ASGL,0.879999177469131,-0.402518660251175,-0.2617369140805302,0.3310915101472098,-0.2318511387424855,15,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,1.111777527148887,22,0.825,38,0.8432203389830508,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
C. elegans,RIVR,0.8779121806194595,0.6655469013907368,0.2318854280206808,0.0691678434885559,-0.0199555288344229,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,1.1091176452404752,23,0.8166666666666667,39,0.8389830508474576,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,RMEV,0.8770372523427571,0.7674447800460324,-0.6370976415793018,0.6187493526056151,-0.0619270268404788,6,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,1.1080025472973591,24,0.8083333333333333,40,0.8347457627118644,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,IPS_R,0.8732340847811113,0.220475916122594,-0.2847546152378359,1.246701343260113,-0.1125067626237329,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,1.1996742306057242,7,0.9104477611940298,41,0.8305084745762712,2,integrative relay,integrative relay,other fly brain,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,RMER,0.8615438524198483,0.2162371135521146,-1.155689138985431,1.233332960967268,-0.306630557449902,17,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,1.088256176256492,25,0.8,42,0.826271186440678,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,MB_L,0.8450483728176931,1.2951800471754982,-1.3739505503122484,1.8491695280101617,-0.4967367608432327,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,1.161761287721204,8,0.8955223880597015,43,0.8220338983050848,3,associative / learning,associative / learning,mushroom body,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
Zebrafish,Hb,0.7924371237195381,-1.7073556462379729,1.8485231130082331,0.0291257222371149,0.6897712985463894,6,root_area_from_louvain_communities,baseline_highpass,16.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.056565767682027,11,0.7959183673469388,44,0.8177966101694916,4,state-dependent / modulatory,state-dependent / modulatory,habenula,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
C. elegans,AIMR,0.7860068505129321,-0.7064674115554626,0.0585674559894783,0.2202357396586161,0.6882119534214624,4,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.9919841072212653,26,0.7916666666666666,45,0.8135593220338984,3,associative / learning,associative / learning,associative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
