threshold,threshold_value,X,Y,Method,R,P,N
p75,3282.1428571428573,RegionSC_PreDCA_scaled_sqrtN,MeanRawFCV,pearson,0.14663302628483585,0.3796867800120022,38
p75,3282.1428571428573,RegionSC_PreDCA_scaled_sqrtN,MeanRawFCV,spearman,0.046066309224203954,0.783599400295422,38
p75,3282.1428571428573,RegionSC_PreDCA_scaled_sqrtN,MeanZFC,pearson,-0.3791162544527983,0.01890771134650151,38
p75,3282.1428571428573,RegionSC_PreDCA_scaled_sqrtN,MeanZFC,spearman,-0.29598424335266443,0.07118603300041745,38
p75,3282.1428571428573,RegionSC_PreDCA_scaled_sqrtN,MeanRawFC,pearson,-0.38114178133213644,0.018229470934683162,38
p75,3282.1428571428573,RegionSC_PreDCA_scaled_sqrtN,MeanRawFC,spearman,-0.29861035124193014,0.06859670272985303,38
p75,3282.1428571428573,out_degree,MeanZFCV,pearson,-0.18719380736619004,0.20768692235663588,47
p75,3282.1428571428573,out_degree,MeanZFCV,spearman,-0.11873063213558198,0.4266860463838096,47
p75,3282.1428571428573,out_degree,MeanRawFCV,pearson,-0.19619982912967202,0.18625233259815174,47
p75,3282.1428571428573,out_degree,MeanRawFCV,spearman,-0.1310670344013766,0.37986163483730484,47
p75,3282.1428571428573,out_degree,MeanZFC,pearson,0.47484668149182346,0.0007449240201755226,47
p75,3282.1428571428573,out_degree,MeanZFC,spearman,0.47891882786786705,0.000660403784116034,47
p75,3282.1428571428573,out_degree,MeanRawFC,pearson,0.4504931536098035,0.00148532377557333,47
p75,3282.1428571428573,out_degree,MeanRawFC,spearman,0.45864774433252375,0.0011855142431767486,47
p75,3282.1428571428573,in_degree,MeanZFCV,pearson,-0.3093969491230637,0.03432493610500332,47
p75,3282.1428571428573,in_degree,MeanZFCV,spearman,-0.11721096846411776,0.4326704253126322,47
p75,3282.1428571428573,in_degree,MeanRawFCV,pearson,-0.3149246251115635,0.0310781229592378,47
p75,3282.1428571428573,in_degree,MeanRawFCV,spearman,-0.12098634653654969,0.41788969110801,47
p75,3282.1428571428573,in_degree,MeanZFC,pearson,0.6041589542953462,6.905605052849665e-06,47
