species,node,n_recordings,level,EdgeStdFCV,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,class_order,class_label,class_short,fine_class,anatomy_group,fcv_rank
Drosophila,AMMC_L,20,side key,-0.6613398339807959,-0.5994321584414103,0.30994119383186697,-0.2781195240033791,-0.2548874092826769,-1,unclassified,unclassified,unclassified,protocerebrum,50.0
Drosophila,AMMC_R,20,side key,-0.9137449031068612,-0.757882449936589,0.631020745548926,-0.721771428979791,-0.14264103436144618,-1,unclassified,unclassified,unclassified,protocerebrum,53.0
Drosophila,ATL_L,20,side key,-0.6308936380962151,-0.6007839374955595,0.302912701067866,-0.34927519475530094,0.46621778240475387,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,49.0
Drosophila,ATL_R,20,side key,-0.385312599387969,-0.4310937517158132,0.3454718666458365,-0.29774640964441584,-0.2158614473211394,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,45.0
Drosophila,AVLP_L,20,side key,2.1013700783446776,0.4894235884938788,-0.6513359458390509,0.5591966793558169,-1.0139382938471606,4,integrative relay,integrative relay,visual-association protocerebrum,protocerebrum,1.0
Drosophila,AVLP_R,20,side key,1.3901620066428826,0.19645041942508007,-0.3474915042981345,0.06732241590359234,-0.5226884611404764,4,integrative relay,integrative relay,visual-association protocerebrum,protocerebrum,5.0
Drosophila,CRE_L,20,side key,0.46372878289355773,1.0297816513883282,-1.4760982655361325,-0.97719808278402,-0.23643059513458894,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,26.0
Drosophila,CRE_R,20,side key,0.609773479832212,1.106810412808459,-1.3302666852391531,-1.2057087604104237,-0.2692820725865226,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,19.0
Drosophila,EB,20,side key,0.2534327198434388,0.15924078979417602,-1.1053123333958916,-0.22748901687734321,-0.2479145099871839,-1,unclassified,unclassified,unclassified,central complex,33.0
Drosophila,EPA_L,20,side key,-1.3355538932606819,-0.7418630630890359,0.6608494437634561,-0.40795936179369574,0.6598008440769187,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,62.0
Drosophila,EPA_R,20,side key,-1.084392160468403,-0.7841312503052646,0.9355005037615547,-0.5348892195465835,0.3412848835642467,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,60.0
Drosophila,FB,20,side key,0.28203849313135587,1.3330068752708044,-1.5059741440019276,0.4315569284634337,-0.4200561771368716,-1,unclassified,unclassified,unclassified,central complex,31.0
Drosophila,FLA,20,side key,-0.05792755399326128,0.7006850406103029,-0.5057362718920817,-0.6347462636090577,0.03376708122230122,-1,unclassified,unclassified,unclassified,protocerebrum,39.0
Drosophila,GA_L,20,side key,-0.8561128689546526,-1.8178016273345285,0.9028765594564966,-0.672792121333951,0.9469846131415266,-1,unclassified,unclassified,unclassified,protocerebrum,51.0
Drosophila,GA_R,20,side key,-1.0246503240899858,-1.7260594471193875,1.2950555621500521,-0.6426719580269713,-0.4658937786712863,-1,unclassified,unclassified,unclassified,protocerebrum,55.0
Drosophila,GOR_L,20,side key,-1.075995711295861,-0.48574640228393584,0.9216558628321206,-0.7914517415545985,0.744105025429669,-1,unclassified,unclassified,unclassified,protocerebrum,59.0
Drosophila,GOR_R,20,side key,-0.8834583916969599,-0.2707742559020056,0.6944801497170687,-0.9635443236023289,0.07905044738319435,-1,unclassified,unclassified,unclassified,protocerebrum,52.0
Drosophila,IB_L,20,side key,-0.5068692601437585,0.5011687769723454,-0.06289781518829553,0.0709636731766309,0.08265020169535296,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,46.0
