species,node,n_recordings,NetTE,NeighborNetTE,NetTE_z,NeighborNetTE_z
Drosophila,AVLP_R,20,-0.0002490557301339484,-5.5857176149950573e-05,-0.09341242382861199,-0.44312677623226543
Drosophila,CRE_L,20,-0.002575383526180826,0.00012504344366187043,-0.9106116581577084,-0.09211404341074637
Drosophila,CRE_R,20,-0.0024935367144620912,0.00010605756187238578,-0.8818602706780567,-0.12895353162745748
Drosophila,EB,20,-3.484953947834809e-05,0.00011018682272669374,-0.018165446472381497,-0.12094126976505316
Drosophila,EPA_L,20,-0.0020445679048237556,0.00041558029641466183,-0.7241451936809282,0.47163269651864625
Drosophila,EPA_R,20,-0.0022781150662965206,0.0003312192765519477,-0.8061863238516617,0.3079417586079584
Drosophila,FB,20,0.0015951617332946675,-2.8395422207184475e-05,0.5544296823488633,-0.38984102569393275
Drosophila,FLA,20,-0.0019310988395988189,0.00026803538870986195,-0.6842854484724381,0.18534212813234402
Drosophila,GA_L,20,-0.0015251180533609999,0.0005971842096177785,-0.5416713301054388,0.8240100732839549
Drosophila,GA_R,20,-0.0014826226613394323,0.0004172601297619247,-0.5267434244673977,0.47489218172395314
Drosophila,GOR_L,20,-0.0032612139505698635,0.0003603195866043108,-1.1515321761701351,0.36440690155804367
Drosophila,GOR_R,20,-0.00343440484180364,0.00022413395082930497,-1.2123711791470673,0.1001574355576119
Drosophila,IB_L,20,-0.00093751440742974,0.00018667143124202087,-0.33525620221159885,0.027466576939265706
Drosophila,IB_R,20,-0.0007599654840784496,0.00013711124137772828,-0.27288629696213834,-0.06869814433982593
Drosophila,ICL_L,20,-0.0023594322873297926,0.00013163356327778214,-0.8347516751659013,-0.07932682411648327
Drosophila,ICL_R,20,-0.0019771075369945735,0.0001553534592116539,-0.700447518301196,-0.033301633585619786
Drosophila,IPS_L,20,0.003339086167127781,7.088328930166327e-05,1.1670405596628637,-0.19720436212710798
Drosophila,IPS_R,20,0.006389486904497815,1.7494224244408245e-05,2.2385942552390787,-0.30079848827232075
Drosophila,IVLP_L,20,-0.0011786652920344161,0.0001305502537602319,-0.4199683904903114,-0.08142883700423582
Drosophila,IVLP_R,20,-0.002841418239291931,0.00012056323512265681,-1.004065110516739,-0.10080727091099242
Drosophila,LAL_L,20,0.0014236968833018402,-1.2528975539457262e-05,0.494197008188928,-0.3590543716139234
Drosophila,LAL_R,20,0.001975730354279793,-4.518863631777503e-05,0.6881169409575626,-0.4224259443301822
Drosophila,LB_L,20,-0.0004897295629164601,-0.0006589452484422002,-0.17795703194752485,-1.613336102256539
Drosophila,LB_R,20,-0.0008642026162570668,0.00018920605776930497,-0.3095030217202645,0.03238467055856557
Drosophila,LH_L,20,-0.0019355315351182096,8.99384273153211e-05,-0.6858425787232204,-0.16023049174776402
Drosophila,LH_R,20,-0.002244070204341718,9.000591965260506e-05,-0.7942269451391769,-0.16009953216465592
Drosophila,LOP_R,9,0.0023937537249649923,-0.002077197394133897,0.834961413622209,-4.365259019972795
Drosophila,LO_L,20,-0.0009779551050881278,0.0010007969772350754,-0.3494623288023259,1.607165049261248
Drosophila,LO_R,20,-0.0003403352167913095,0.0018256347153772108,-0.12547734895786722,3.2076490547929537
Drosophila,MB_L,20,0.00767145890248945,-0.0001511287933903559,2.688929129357135,-0.627988225367528
Drosophila,MB_R,20,0.006914045217470248,-6.481940736136482e-05,2.4228626341195056,-0.4605167513079133
Drosophila,ME_L,19,-0.0009358804031440345,0.0011939789682789102,-0.33468220440551233,1.9820080911410174
Drosophila,ME_R,19,-0.002082148635725011,0.00012632098079878358,-0.7373466627818094,-0.08963515858340118
Drosophila,NO,20,-0.0012116817215816209,8.636298572271237e-05,-0.431566498457772,-0.16716814362408616
Drosophila,OTU_L,20,-0.0061024243761835266,0.00023563039465150857,-2.14960088700479,0.12246470110462061
Drosophila,OTU_R,20,-0.0037899780096879456,0.0002300500233644816,-1.3372779618613508,0.11163675934490933
Drosophila,PB,20,0.0012251031237668019,-3.6420128437273275e-05,0.42443441131399484,-0.40541186269185703
Drosophila,PLP_L,20,0.0037952981704848627,1.959999053644531e-05,1.3273000469409144,-0.2967125388619745
Drosophila,PLP_R,20,1.5163246128535764e-05,0.00013271554216422093,-0.0005968088220633801,-0.07722739313510173
Drosophila,PRW,20,-0.0005647369212574873,0.00016711651420680903,-0.20430583623447687,-0.010477045784459502
Drosophila,PVLP_L,20,-2.0580911573442242e-05,0.00011691209108049205,-0.013153121116242875,-0.10789181296230448
Drosophila,PVLP_R,20,0.00014971537951219822,-1.762909987070064e-05,0.04666905825192471,-0.36895046031224576
Drosophila,SAD,20,0.0036272104503654303,1.0730238023017773e-05,1.2682537008433692,-0.31392307176356105
Drosophila,SCL_L,20,-0.0025290270916151023,8.465830346640015e-05,-0.8943274341985098,-0.17047584471434746
Drosophila,SCL_R,20,-0.001976778668229529,1.582110649118307e-05,-0.7003319923192403,-0.3040449427925025
Drosophila,SIP_L,20,-0.0020326124620459445,-4.448705593338329e-05,-0.7199454507639177,-0.4210646242403147
Drosophila,SIP_R,20,-0.0017622688307457296,-0.00013889274490910003,-0.6249783490168208,-0.6042458588636983
Drosophila,SLP_L,20,-0.00036690752642079566,-1.864262937638744e-05,-0.13481174762707962,-0.37091707469950674
Drosophila,SLP_R,20,0.0005332223158775477,0.00013880678320402605,0.18138849688401412,-0.06540817899486985
Drosophila,SMP_L,20,0.004481490914464042,-0.00014289255101655152,1.5683478416390042,-0.6120069316228365
Drosophila,SMP_R,20,0.00483928138270114,-0.00018299722751595108,1.694033524108369,-0.6898245317594243
Drosophila,SOG,20,0.00924774629814585,7.722110591776013e-05,3.242651977444988,-0.18490670204804383
Drosophila,SPS_L,20,0.002467122243696405,7.1650542841821764e-06,0.860734521536345,-0.32084081968770467
Drosophila,SPS_R,20,0.0007487365207685501,0.0001072453979350329,0.2570949573077119,-0.12664869937797466
Drosophila,VES_L,20,0.0028809463593895525,2.3294853556074756e-05,1.0061038676216294,-0.28954316615738995
Drosophila,VES_R,20,0.0028739897059071153,3.256549161439435e-05,1.0036601140332482,-0.2715547700798366
Drosophila,WED_L,20,-0.00012178454841405765,0.0006916183634930444,-0.04870423075694301,1.007246540123738
Drosophila,WED_R,20,-0.0006211152365773029,0.0007741018162527621,-0.22411057578597438,1.1672943177148862
Zebrafish,Cb,7,9.896313055863169e-05,0.00030499426178554344,0.22864231595212364,0.18384591984483378
Zebrafish,HR,2,-0.016466179096079857,0.0003933774267321214,-2.942920815905876,0.4131243062261776
Zebrafish,Hb,6,0.00037362480613904655,0.0004927051677131939,0.28122905695844924,0.6707944653431275
Zebrafish,Hi,3,-0.008703457671801756,-0.0005867435413052399,-1.4566697028587956,-2.1294476207460713
Zebrafish,MON,7,-0.0029873538991381766,-5.3429763738774005e-05,-0.3622641290810517,-0.7459565177822078
Zebrafish,MOS1,7,0.004511418467607266,0.00023619505533204905,1.073451281458564,0.005371081910385337
Zebrafish,MOS2,7,0.004672788304017195,0.0002737257382897706,1.1043471600903012,0.10273096298657632
Zebrafish,MOS3,7,0.007062437721347646,0.0001392567739084332,1.561869581955385,-0.24610048234985993
Zebrafish,MOS4,7,0.0018089966477468143,0.00031605203444479087,0.5560454365020926,0.21253134057870798
Zebrafish,MOS5,7,0.0012659612822389181,4.9266727900973484e-05,0.4520758526025783,-0.47954734467306886
Zebrafish,NX,6,0.0012897281961843333,0.00041199309541075686,0.45662626738296613,0.4614159744259654
Zebrafish,OB,4,0.00042697119667710207,0.0007983560887146713,0.2914427601149557,1.463696032123959
Zebrafish,P,7,0.0008070700555037735,0.0004182849225019847,0.3642165105979058,0.4777378606555328
Zebrafish,PO,7,-0.0011577429145620758,0.00040784478625694945,-0.011966699398100827,0.45065467582831037
Zebrafish,PT,6,-0.003918212749436583,0.00027776509759091264,-0.540486420817405,0.11320963031128804
Zebrafish,PrT,7,-0.0026032419450306805,0.00023038766960996204,-0.2887220311330959,-0.00969409513163366
Zebrafish,Ra,7,-0.0013079789879908463,0.0006884273280581319,-0.04073090709657531,1.1785253338867243
Zebrafish,SP,7,0.004932250608441387,0.0005390108014362367,1.1540238285764532,0.790917805424941
Zebrafish,T,7,-0.002676602858826266,2.3993564020633623e-05,-0.3027677161221047,-0.5451094937173812
Zebrafish,TS,4,-0.0031414331167876276,-0.0017513702079555984,-0.3917641454042854,-5.15065333370822
Zebrafish,TeO,7,-0.0007836471614090304,-0.00033597477352155167,0.059657696109767754,-1.4789180943703797
Zebrafish,Th,7,-0.002782558560975258,0.000265157459277516,-0.32305400125918454,0.08050363963622668
Zebrafish,aRF,6,-0.0046610666161773714,0.00037728049579675957,-0.6827132670393791,0.37136659871725913
Zebrafish,imRF,6,0.0003172998347255975,0.00037841848194145413,0.2704450745275238,0.3743186951616171
Zebrafish,pRF,7,0.0008898150670087898,0.000518672136349982,0.38005887550150796,0.738156441708834
Zebrafish,rCb,7,0.0008564060570656108,0.00017018783207577964,0.37366238443864996,-0.16586095811508922
Zebrafish,rHR,2,-0.010294038839822755,0.00034956770529544006,-1.7612024694178863,0.2994757143830386
Zebrafish,rHb,6,0.0016594076369569747,0.0004714863050918998,0.5274051154555742,0.6157497451682127
Zebrafish,rHi,4,-0.008984689260133202,0.00027136530737679196,-1.5105143197574988,0.0966076725248746
Zebrafish,rMON,7,-0.0036526652893095904,-9.150614855850819e-05,-0.48964468805262656,-0.8447320263983626
Zebrafish,rMOS1,7,0.003251901658978326,0.00028400953976807,0.8323041171571794,0.12940859339544122
Zebrafish,rMOS2,7,0.0037358028962555874,0.00032928170110832104,0.9249518772917731,0.24685096046118987
Zebrafish,rMOS3,7,0.003289922857648688,0.00028232980491154307,0.8395836581524903,0.12505112443983446
Zebrafish,rMOS4,7,0.002192753612451256,0.00037729001215795185,0.6295195681574851,0.37139128549940487
