epsilon,run,layer,dynamic_fc_state,potential,fc_state_mean,fc_state_std
0.0,1,Layer 1,0.027317634861570017,3.7098320022217344,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.04107028952021907,3.4675495068342257,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.05482294417886813,3.273303858404255,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.0685755988375174,3.116705638275121,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.08232825349616646,2.9902931939908064,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.09608090815481574,2.9021886383995468,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.10983356281346479,2.825851865609423,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.12358621747211407,2.8087733624960216,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.13733887213076312,2.805221263223129,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.15109152678941218,2.854564694966737,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.16484418144806146,2.9446941330408793,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.1785968361067105,3.0972932770136876,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.1923494907653598,3.259819663797806,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.20610214542400884,3.428827473574428,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.21985480008265812,3.442632252232346,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.23360745474130717,3.4194680466812715,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.24736010939995645,3.3284887570058936,0.7576448226790057,0.30008554618003974
