species,node_i,node_j,profile_corr
C. elegans,ADER,AIML,-0.019818877648376136
C. elegans,ADER,AIMR,-0.2341906651873616
C. elegans,ADER,AINL,0.5683088940715454
C. elegans,ADER,AINR,0.7912108068537401
C. elegans,ADER,AIYL,0.8390350450080216
C. elegans,ADER,AIYR,0.2871006690277469
C. elegans,ADER,AIZL,0.8399612585526391
C. elegans,ADER,AIZR,0.8919140445260753
C. elegans,ADER,ALA,0.965783418805404
C. elegans,ADER,AQR,0.3421856581881428
C. elegans,ADER,ASEL,0.2260794120646191
C. elegans,ADER,ASER,0.49032929047636736
C. elegans,ADER,ASGL,-0.6013463173762257
C. elegans,ADER,ASGR,-0.7699107190220483
C. elegans,ADER,ASHL,0.4175487444091416
C. elegans,ADER,ASIL,0.42054410787028956
C. elegans,ADER,ASIR,0.6128699735680486
C. elegans,ADER,ASKL,0.6681537162989978
C. elegans,ADER,ASKR,0.9136362041276115
C. elegans,ADER,AUAL,-0.09315207568534939
C. elegans,ADER,AUAR,-0.3766314727047142
C. elegans,ADER,AVAL,-0.7291478931970372
C. elegans,ADER,AVAR,-0.7271691743898115
C. elegans,ADER,AVBL,-0.9062630338006604
C. elegans,ADER,AVBR,-0.48050665888016747
C. elegans,ADER,AVDL,0.8586681357101354
C. elegans,ADER,AVDR,0.8666287358427133
C. elegans,ADER,AVEL,-0.850481818020536
C. elegans,ADER,AVER,-0.8241147578169834
C. elegans,ADER,AVHL,0.9223089875885567
C. elegans,ADER,AVJL,0.7663783611315693
C. elegans,ADER,AVJR,0.8148718825971369
C. elegans,ADER,AVKL,0.28772603311065187
C. elegans,ADER,AVKR,0.4892274329559756
C. elegans,ADER,AVL,0.587641124026303
C. elegans,ADER,AWAL,-0.037765117259414165
C. elegans,ADER,AWAR,0.8915432006948171
C. elegans,ADER,AWBL,0.7180603466887381
C. elegans,ADER,AWBR,0.935520773273036
C. elegans,ADER,AWCL,0.6586837127531164
C. elegans,ADER,AWCR,0.9447048976460943
C. elegans,ADER,BAGL,-0.8986164782902109
C. elegans,ADER,CEPDL,0.2514172391575314
C. elegans,ADER,CEPDR,0.7845632166263921
C. elegans,ADER,CEPVL,-0.1976852290472149
C. elegans,ADER,CEPVR,0.5120519899858821
C. elegans,ADER,FLPL,0.8631022518632916
C. elegans,ADER,FLPR,0.8721272073863172
C. elegans,ADER,IL1DL,-0.3378730277006475
C. elegans,ADER,IL1DR,-0.7989367962104134
C. elegans,ADER,IL1L,-0.5653220696216285
C. elegans,ADER,IL1R,-0.99246687808699
C. elegans,ADER,IL1VL,0.4566227575219066
C. elegans,ADER,IL1VR,-0.9350522446448757
C. elegans,ADER,IL2DL,0.9652517846543669
C. elegans,ADER,IL2DR,0.9835057026553193
C. elegans,ADER,IL2L,0.9433741427128122
C. elegans,ADER,IL2R,0.75709298561579
C. elegans,ADER,IL2VL,0.942876643010977
C. elegans,ADER,IL2VR,0.9840147036542493
C. elegans,ADER,OLLL,-0.6845555179105557
C. elegans,ADER,OLLR,-0.6006533244164787
C. elegans,ADER,OLQDL,-0.7617947418201904
C. elegans,ADER,OLQDR,-0.4319858605018603
C. elegans,ADER,OLQVL,-0.6839116466444666
C. elegans,ADER,OLQVR,-0.5785744375850516
C. elegans,ADER,RIAL,0.9093538054596347
C. elegans,ADER,RIAR,0.9533990643820901
C. elegans,ADER,RIBL,-0.9144226969011326
C. elegans,ADER,RIBR,-0.8088898835768803
C. elegans,ADER,RICL,0.6844044553706438
C. elegans,ADER,RICR,0.8850715770904528
C. elegans,ADER,RID,-0.7786980090788066
C. elegans,ADER,RIH,-0.2379368176401508
C. elegans,ADER,RIML,-0.726325346812625
C. elegans,ADER,RIMR,-0.6772774588554664
C. elegans,ADER,RIR,0.3114901759789641
C. elegans,ADER,RIS,-0.8697445769070222
C. elegans,ADER,RIVL,-0.5877189236670576
C. elegans,ADER,RIVR,-0.5988072693058489
C. elegans,ADER,RMDDL,0.027986639669076864
C. elegans,ADER,RMDDR,0.859291694333926
C. elegans,ADER,RMDL,-0.8163109066806281
C. elegans,ADER,RMDR,-0.32817971150829783
C. elegans,ADER,RMDVL,-0.010694512800423038
C. elegans,ADER,RMDVR,0.7083306247528148
C. elegans,ADER,RMED,-0.6430860958982231
C. elegans,ADER,RMEL,-0.9064144468589745
C. elegans,ADER,RMER,-0.9961608461655441
C. elegans,ADER,RMEV,-0.9164027273765322
C. elegans,ADER,RMGL,0.967581795002729
C. elegans,ADER,SAADL,-0.2109204987723053
C. elegans,ADER,SAADR,0.4119691612125446
C. elegans,ADER,SAAVL,0.5761553362766847
C. elegans,ADER,SAAVR,0.48813904913688744
C. elegans,ADER,SMBVR,-0.36389282713609383
C. elegans,ADER,SMDDL,-0.621532972936787
C. elegans,ADER,SMDDR,-0.7642440241704983
C. elegans,ADER,SMDVL,-0.923258116100485
C. elegans,ADER,SMDVR,-0.303243432518108
C. elegans,ADER,URADL,0.7999564449467109
C. elegans,ADER,URADR,0.9414325777683414
C. elegans,ADER,URAVL,0.766454424605049
C. elegans,ADER,URAVR,0.9673826095313716
C. elegans,ADER,URBL,-0.041943777268157824
C. elegans,ADER,URBR,0.5229407529680636
C. elegans,ADER,URXL,-0.8319902289980314
C. elegans,ADER,URXR,0.24879100889036374
C. elegans,ADER,URYDL,-0.9515872413195685
C. elegans,ADER,URYDR,-0.08014856984018764
C. elegans,ADER,URYVL,-0.9986474981975639
C. elegans,ADER,URYVR,0.41696891534047453
C. elegans,ADLL,ADLR,0.7263101347365528
C. elegans,ADLL,AIBL,-0.7789088448777174
C. elegans,ADLL,AIBR,-0.7462515586960738
C. elegans,ADLL,AIML,0.31467767753940723
C. elegans,ADLL,AIMR,0.04178830873973733
C. elegans,ADLL,AINL,0.8106669927341653
C. elegans,ADLL,AINR,0.7589889690132541
C. elegans,ADLL,AIYL,0.7361052461179323
C. elegans,ADLL,AIYR,0.41102015386889545
C. elegans,ADLL,AIZL,0.6337115872000124
C. elegans,ADLL,AIZR,0.6896385934349538
C. elegans,ADLL,ALA,0.9853917517717119
C. elegans,ADLL,AQR,0.2741869815569415
C. elegans,ADLL,ASEL,0.5352966097611918
C. elegans,ADLL,ASER,0.6890387577140228
C. elegans,ADLL,ASGL,-0.3592114032300245
C. elegans,ADLL,ASGR,-0.6609678547264409
C. elegans,ADLL,ASHL,0.5985151551605333
C. elegans,ADLL,ASIL,0.6842511320622927
C. elegans,ADLL,ASIR,0.8235599066970278
C. elegans,ADLL,ASKL,0.8211420503560908
C. elegans,ADLL,ASKR,0.9918358724403589
C. elegans,ADLL,AUAL,-0.008272495549151252
C. elegans,ADLL,AUAR,-0.10453849420461302
C. elegans,ADLL,AVAL,-0.546295666982497
C. elegans,ADLL,AVAR,-0.5523991083772632
C. elegans,ADLL,AVBL,-0.736880763257307
C. elegans,ADLL,AVBR,-0.32024810551194877
C. elegans,ADLL,AVDL,0.6656367151953076
C. elegans,ADLL,AVDR,0.6829136104748205
C. elegans,ADLL,AVEL,-0.7450344241312831
C. elegans,ADLL,AVER,-0.6378646841725704
C. elegans,ADLL,AVHL,0.7657690259014844
C. elegans,ADLL,AVJL,0.5518504080017114
C. elegans,ADLL,AVJR,0.5815080926326963
C. elegans,ADLL,AVKL,0.5862865889160243
C. elegans,ADLL,AVKR,0.7262711877459704
C. elegans,ADLL,AVL,0.7789632620203459
C. elegans,ADLL,AWAL,0.24879593098911248
C. elegans,ADLL,AWAR,0.9135526586666308
C. elegans,ADLL,AWBL,0.9040227525657519
C. elegans,ADLL,AWBR,0.7648601140776542
C. elegans,ADLL,AWCL,0.8721318602483513
C. elegans,ADLL,AWCR,0.9773953986743014
C. elegans,ADLL,BAGL,-0.7029006651221331
C. elegans,ADLL,CEPDL,-0.055312512740557866
C. elegans,ADLL,CEPDR,0.5336298429920465
C. elegans,ADLL,CEPVL,-0.5117053089965348
C. elegans,ADLL,CEPVR,0.21847524704833485
C. elegans,ADLL,FLPL,0.711737459533716
C. elegans,ADLL,FLPR,0.6731489879486693
C. elegans,ADLL,IL1DL,-0.6280973436145023
C. elegans,ADLL,IL1DR,-0.9426462271436158
C. elegans,ADLL,IL1L,-0.6997852137330548
C. elegans,ADLL,IL1R,-0.8953325361985894
C. elegans,ADLL,IL1VL,0.299741740425762
C. elegans,ADLL,IL1VR,-0.7756067570777622
C. elegans,ADLL,IL2DL,0.8984418148307063
C. elegans,ADLL,IL2DR,0.9282796303130197
C. elegans,ADLL,IL2L,0.7880582229579175
C. elegans,ADLL,IL2R,0.903921932951854
C. elegans,ADLL,IL2VL,0.7791380896127306
C. elegans,ADLL,IL2VR,0.9565862308869391
C. elegans,ADLL,OLLL,-0.7777889156813861
C. elegans,ADLL,OLLR,-0.7275599201146816
C. elegans,ADLL,OLQDL,-0.7616738594370942
C. elegans,ADLL,OLQDR,-0.6096769647090137
C. elegans,ADLL,OLQVL,-0.6575073411686299
C. elegans,ADLL,OLQVR,-0.6972182106094205
C. elegans,ADLL,RIAL,0.7292504733260348
C. elegans,ADLL,RIAR,0.8083703242743949
C. elegans,ADLL,RIBL,-0.741164491346934
C. elegans,ADLL,RIBR,-0.5680319639211017
C. elegans,ADLL,RICL,0.757481935731536
C. elegans,ADLL,RICR,0.814625403603678
C. elegans,ADLL,RID,-0.5601659740693664
C. elegans,ADLL,RIH,-0.09087490529419393
C. elegans,ADLL,RIML,-0.48615913090530954
C. elegans,ADLL,RIMR,-0.4075851603097485
C. elegans,ADLL,RIR,0.5485352284883163
C. elegans,ADLL,RIS,-0.7452495417812907
C. elegans,ADLL,RIVL,-0.44051191224640446
C. elegans,ADLL,RIVR,-0.4654224929050545
