species,node,fc_fdr_q,n_recordings,NeighborNetTE,n_fc_neighbors,NeighborNetTE_z
Zebrafish,MOS2,0.001,7,0.0002737257382897,89.64285714285714,0.1027309629865763
Zebrafish,MOS3,0.001,7,0.0001392567739084,87.11904761904762,-0.2461004823498599
Zebrafish,MOS4,0.001,7,0.0003160520344447,84.83333333333334,0.2125313405787079
Zebrafish,MOS5,0.001,7,4.926672790097349e-05,70.05850340136054,-0.4795473446730688
Zebrafish,NX,0.001,6,0.0004119930954107,86.72222222222223,0.4614159744259654
Zebrafish,OB,0.001,4,0.0007983560887146,34.1375,1.463696032123959
Zebrafish,P,0.001,7,0.0004182849225019,60.94285714285714,0.4777378606555328
Zebrafish,PO,0.001,7,0.0004078447862569,82.11428571428571,0.4506546758283103
Zebrafish,PT,0.001,6,0.0002777650975909,99.13888888888889,0.113209630311288
Zebrafish,PrT,0.001,7,0.0002303876696099,84.91666666666666,-0.0096940951316336
Zebrafish,Ra,0.001,7,0.0006884273280581,67.16666666666667,1.1785253338867243
Zebrafish,SP,0.001,7,0.0005390108014362,72.98809523809524,0.790917805424941
Zebrafish,T,0.001,7,2.3993564020633623e-05,87.47142857142856,-0.5451094937173812
Zebrafish,TS,0.001,4,-0.0017513702079555,30.875,-5.15065333370822
Zebrafish,TeO,0.001,7,-0.0003359747735215,55.2936141123116,-1.4789180943703797
Zebrafish,Th,0.001,7,0.0002651574592775,79.83333333333334,0.0805036396362266
Zebrafish,aRF,0.001,6,0.0003772804957967,88.02777777777777,0.3713665987172591
Zebrafish,imRF,0.001,6,0.0003784184819414,87.16666666666667,0.3743186951616171
Zebrafish,pRF,0.001,7,0.0005186721363499,78.5,0.738156441708834
Zebrafish,rCb,0.001,7,0.0001701878320757,82.70918367346938,-0.1658609581150892
Zebrafish,rHR,0.001,2,0.0003495677052954,122.25,0.2994757143830386
Zebrafish,rHb,0.001,6,0.0004714863050918,54.5,0.6157497451682127
Zebrafish,rHi,0.001,4,0.0002713653073767,102.75,0.0966076725248746
Zebrafish,rMON,0.001,7,-9.15061485585082e-05,52.7719387755102,-0.8447320263983626
Zebrafish,rMOS1,0.001,7,0.000284009539768,96.59523809523807,0.1294085933954412
Zebrafish,rMOS2,0.001,7,0.0003292817011083,91.23809523809524,0.2468509604611898
Zebrafish,rMOS3,0.001,7,0.0002823298049115,98.61904761904762,0.1250511244398344
Zebrafish,rMOS4,0.001,7,0.0003772900121579,94.96666666666668,0.3713912854994048
Zebrafish,rMOS5,0.001,7,0.0002125838569284,81.13095238095238,-0.0558796944539422
Zebrafish,rNX,0.001,7,0.0005332618207852,82.01190476190477,0.776004139368946
Zebrafish,rP,0.001,7,0.0003271555836406,68.18571428571428,0.2413355121002629
Zebrafish,rPO,0.001,7,0.0002891908910787,83.35238095238095,0.1428497489424034
Zebrafish,rPT,0.001,7,0.0002448736269618,95.21428571428572,0.0278845198549625
Zebrafish,rPrT,0.001,7,0.0001310084838753,95.10714285714286,-0.2674977091897692
Zebrafish,rRa,0.001,6,0.0006061260303853,72.16666666666667,0.965024168377344
Zebrafish,rSP,0.001,7,0.0004912492496939,76.58333333333334,0.6670176088075299
Zebrafish,rT,0.001,7,0.0001734161545118,98.05,-0.1574862347240475
Zebrafish,rTS,0.001,1,-0.0001812656244419,87.5,-1.0775807573239815
Zebrafish,rTeO,0.001,7,-0.0002544489483957,63.16143856143856,-1.267428613941095
Zebrafish,rTh,0.001,7,0.0001631271752262,86.21428571428571,-0.184177297094723
Zebrafish,raRF,0.001,4,0.0005141006477912,109.5,0.726297356092814
Zebrafish,rimRF,0.001,6,0.0002917415400515,100.58333333333331,0.1494664918601765
Zebrafish,rpRF,0.001,7,0.0006723254788453,81.07142857142857,1.1367548676729269
