species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group
C. elegans,RID,1.206516453563277,0.0108227569268958,-0.0239406992120578,0.5330485344725288,1-hop induced structural neighborhood modularity Q,24.0,7.0,-1.1921383466789333,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,RIH,0.4543163228650999,0.0518737270452255,0.0104559454494932,0.5957600475624257,1-hop induced structural neighborhood modularity Q,123.0,4.0,0.8777184570879153,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,RIML,1.033370210717337,-0.0410927478715281,0.0277581148191426,0.3285938203888945,1-hop induced structural neighborhood modularity Q,194.0,4.0,-0.1727521057778039,node_mean,,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory
C. elegans,RIMR,0.9796523400915012,-0.043059513472717,0.0455336622273041,0.3778852103804485,1-hop induced structural neighborhood modularity Q,192.0,6.0,-0.4845083154486173,node_mean,,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory
C. elegans,RIR,0.4412472230242808,0.0444727599698452,0.0268520614976934,0.42741241428466714,1-hop induced structural neighborhood modularity Q,137.0,4.0,0.3817110221000572,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,RIS,0.9586480487944484,-0.0219287788226396,-0.0137384618947002,0.4406477811510279,1-hop induced structural neighborhood modularity Q,133.0,5.0,1.5664205273504097,node_mean,,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory
C. elegans,RIVL,0.997230902250066,-0.01428840361736,0.0324876634470004,0.1368065837556789,1-hop induced structural neighborhood modularity Q,46.0,6.0,0.0454623740767574,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RIVR,0.876074376911276,0.0019053193605542,0.0898898680120462,0.19007869137042535,1-hop induced structural neighborhood modularity Q,48.0,5.0,0.3867729750960119,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMDDL,-0.4266990564743954,-0.0754488343026982,0.0582212357254225,0.3166163176557123,1-hop induced structural neighborhood modularity Q,97.0,4.0,-1.9989026791958235,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMDDR,-0.8017471487953932,-0.1916640041512533,0.0618211414162167,0.2165272517464771,1-hop induced structural neighborhood modularity Q,66.0,4.0,-2.239336062686346,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMDL,0.9849602606250734,0.059394912417754,0.0471625234151796,0.3100312388510368,1-hop induced structural neighborhood modularity Q,172.0,6.0,-0.6341488397979895,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMDR,-0.1332431479505051,0.0535552292500498,0.0671156029426061,0.31895493955740717,1-hop induced structural neighborhood modularity Q,125.0,4.0,-1.0266387890430204,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMDVL,-0.248109221383357,-0.1382482450584931,0.0752928416535763,0.34500675842090445,1-hop induced structural neighborhood modularity Q,79.0,3.0,-1.5500836697849176,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMDVR,-0.7670583706691313,-0.1408615511985975,0.0708327969591204,0.3246346119509186,1-hop induced structural neighborhood modularity Q,88.0,4.0,-1.4240346891027378,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMED,0.3662126499559935,-0.1161553818148787,-0.0362869662245754,0.45341836734693874,1-hop induced structural neighborhood modularity Q,24.0,5.0,-2.2246235515243336,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMEL,1.206894611334205,0.0299403921694242,0.0152548246003602,0.441504385312918,1-hop induced structural neighborhood modularity Q,21.0,5.0,-2.512305623976115,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMER,0.8615438524198483,0.0352811430380435,0.0176861883629082,0.3342415229030339,1-hop induced structural neighborhood modularity Q,28.0,5.0,-2.3632097148104805,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMEV,0.8770372523427571,-0.0497425749578728,0.005031462257574,0.47382424079548513,1-hop induced structural neighborhood modularity Q,44.0,7.0,-2.145399509471633,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,RMGL,-1.184630788789381,-0.064570897442933,0.0069226372171253,0.4805985521401792,1-hop induced structural neighborhood modularity Q,177.0,6.0,0.461345566502621,node_mean,,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory
C. elegans,SAADL,0.4228558155914764,-0.1010687288441655,-0.0008080246668527,0.516926347114465,1-hop induced structural neighborhood modularity Q,59.0,6.0,-0.2363887780642304,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,SAADR,0.2322001526469293,-0.1204589684187786,0.0181883324272895,0.4569661924387638,1-hop induced structural neighborhood modularity Q,72.0,6.0,0.243230309880947,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,SAAVL,0.0230766114130068,-0.1512837405952934,0.0015495056890599,0.46532818047569674,1-hop induced structural neighborhood modularity Q,74.0,7.0,0.8807457944547437,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
C. elegans,SAAVR,-0.0947303247555859,-0.1553687869686358,-0.0550444047887704,0.3556266497146253,1-hop induced structural neighborhood modularity Q,28.0,6.0,0.8846853924588238,node_mean,,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command
