species,unit_type,node,n_edge_values,summary_from_sample,edge_target_dca_mean,edge_target_dca_median,edge_target_dca_q05,edge_target_dca_q25,edge_target_dca_q75,edge_target_dca_q95,edge_target_dca_frac_positive,edge_target_dca_frac_negative,edge_target_dca_weighted_mean,edge_weight_sum,EdgeStdFCV,PostDCA
C. elegans,neuron,AWAR,13,False,0.017327980016058227,0.0112859704311314,-0.013207150451254038,0.0044078602232087,0.025061877317654,0.07003559688601978,0.7692307692307693,0.23076923076923078,0.017820815968624865,93.0,0.3247676909728038,0.0178208159686248
C. elegans,neuron,RMDVR,12,False,-0.016866532385553943,-0.0003294894463231001,-0.2867822673951673,-0.022288403133845076,0.0524148418950561,0.15278090053362692,0.5,0.5,-0.14086155119859756,64.0,0.3231859047141459,-0.1408615511985975
C. elegans,neuron,RIAR,25,False,-0.05704433205660595,-0.0270651605212964,-0.20923376220816356,-0.1129518519257815,0.0058635292173972,0.0647045275524697,0.32,0.68,-0.11280202502038057,447.0,0.3229675677686889,-0.1128020250203805
C. elegans,neuron,RMDDR,3,False,-0.1910564590569724,-0.1937156378776067,-0.21064301895980891,-0.20311973847883014,-0.18032276904543185,-0.16960847397969195,0.0,1.0,-0.19166400415125331,30.0,0.3219758324174668,-0.1916640041512533
C. elegans,neuron,AIYL,12,False,0.022443667883899166,0.00832346657824015,-0.017625334503509196,0.00203496835881745,0.019292677064482774,0.11152222518620725,0.8333333333333334,0.16666666666666666,0.03877119340531012,191.0,0.3212578520577572,0.0387711934053101
C. elegans,neuron,IL2DR,12,False,0.010967483615170207,-0.0018757285537053,-0.031783002702052546,-0.007676046547261849,0.019667644928520273,0.0771855911321871,0.4166666666666667,0.5833333333333334,-0.0003309368269910341,115.0,0.3206479261807062,-0.000330936826991
C. elegans,neuron,CEPVR,21,False,0.01972899751483109,0.0112859704311314,-0.1527340340042751,-0.0119750738279496,0.0722051142690488,0.1402780601001394,0.6190476190476191,0.38095238095238093,0.020900538039196427,122.0,0.3201911448629372,0.0209005380391964
C. elegans,neuron,URAVR,13,False,-0.008137944583677805,0.0052300313393084,-0.19465876461480539,-0.0106772007762209,0.0481867293131309,0.09113056328701188,0.5384615384615384,0.46153846153846156,-0.0013509457379679752,42.0,0.3192043836776416,-0.0013509457379679
C. elegans,neuron,AIZL,20,False,0.013127488407791339,0.0032638363417127,-0.0469080139720503,-0.009336806665138326,0.02784563940603805,0.07560876156060338,0.55,0.45,0.020418109966016163,248.0,0.318904430404514,0.0204181099660161
C. elegans,neuron,FLPL,16,False,-0.03057971003688615,0.0044115471134383005,-0.3550787872566197,-0.03475692336574105,0.03214069291110355,0.09958634724190477,0.5,0.5,-0.11494915010540334,241.0,0.3186063030842768,-0.1149491501054033
C. elegans,neuron,AVJL,15,False,-0.03254568267748761,0.0034255894904922,-0.19558208832515042,-0.04784808377237635,0.023774192723774498,0.056802970371348654,0.5333333333333333,0.4666666666666667,-0.04296858024194648,33.0,0.3174006222405808,-0.0429685802419464
C. elegans,neuron,ADEL,34,False,-0.000718574425050478,0.0027068278688380997,-0.15148478491345937,-0.010178367215566874,0.02900205145784445,0.10629389156549224,0.5294117647058824,0.47058823529411764,-0.03157723490657008,128.0,0.316120710667399,-0.03157723490657
C. elegans,neuron,RICR,22,False,-0.042638889878285326,-0.00097263377153585,-0.3378480188133535,-0.056465314829827924,0.019447827468765076,0.03891317803512433,0.4090909090909091,0.5909090909090909,-0.1258309841241381,99.0,0.3160675263919945,-0.125830984124138
C. elegans,neuron,ADER,25,False,0.0039778144613493265,0.0123960940491215,-0.2947636618852955,-0.0086818665336048,0.0480314651431496,0.2201890641048637,0.68,0.32,-0.0379609791744908,85.0,0.3155816422261802,-0.0379609791744908
