species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,group_i,group_j,n_i,n_j,mannwhitney_p,holm_p
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,protocerebrum,117.0,889.0,4.647990408029994e-36,6.971985612044991e-35
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,premotor interface,117.0,120.0,1.8644797082901026e-32,2.6102715916061435e-31
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,central complex,40.0,80.0,5.793407724018453e-08,4.0553854068129175e-07
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,protocerebrum,40.0,889.0,9.11613140649886e-12,8.204518265848974e-11
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,premotor interface,40.0,120.0,8.872454462828654e-06,4.4362272314143274e-05
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,central complex,protocerebrum,80.0,889.0,0.05876432650082528,0.05876432650082528
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,central complex,premotor interface,80.0,120.0,0.00021180785989384452,0.0008472314395753781
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,protocerebrum,premotor interface,889.0,120.0,1.7194230207300066e-11,1.3755384165840053e-10
Drosophila,FCS,olfactory neuropil,80.0,0.3439193960718959,0.4422353591881233,0.6222421020435713,,,,,,,,
Drosophila,FCS,optic neuropil,117.0,-1.58952239901658,-1.6045801251807505,0.41553574337963484,,,,,,,,
Drosophila,FCS,mushroom body,40.0,1.1935363148138645,1.1925466656279888,0.44755127285109036,,,,,,,,
Drosophila,FCS,central complex,80.0,-0.12343798707793288,-0.28495910735716146,0.9263712438049316,,,,,,,,
Drosophila,FCS,protocerebrum,889.0,0.017388260735501843,0.11386332803725036,0.8988665282478473,,,,,,,,
Drosophila,FCS,premotor interface,120.0,0.8761332631583918,0.943676446629506,0.47325105777269544,,,,,,,,
