species,unit_type,node,n_edge_values,summary_from_sample,edge_source_dca_mean,edge_source_dca_median,edge_source_dca_q25,edge_source_dca_q75,edge_source_dca_frac_positive,edge_source_dca_frac_negative,EdgeStdFCV
C. elegans,neuron,CEPDL,20,False,0.02400984398685493,0.0163716702729182,0.0034778518278343997,0.06305138661144455,0.9,0.1,0.3296426373461737
C. elegans,neuron,AINR,3,False,0.013399545092461334,0.0109903084021657,0.0050551363452553,0.02053933549451955,0.6666666666666666,0.3333333333333333,0.3297581771604672
C. elegans,neuron,IL2L,9,False,0.01375518894298079,0.0105111896434801,0.002601439414488,0.0237330101588609,0.7777777777777778,0.2222222222222222,0.3302725772632353
C. elegans,neuron,AWCR,14,False,0.021145496527118713,0.01115436915020695,0.002346486257233925,0.046657064028041526,0.7857142857142857,0.21428571428571427,0.3304063149027885
C. elegans,neuron,RICL,17,False,0.016380740496296013,0.0084350888489262,0.0037459166321386,0.0168228343960321,0.8823529411764706,0.11764705882352941,0.3305586784404383
C. elegans,neuron,ALA,5,False,0.03187429226640604,0.0052364495994157,0.0050074741225411,0.0610033400896625,0.8,0.2,0.33085458119846
C. elegans,neuron,URBR,8,False,0.03601951017059584,0.029046256970845598,0.00923905322394155,0.058702709312422025,1.0,0.0,0.3312190338559746
C. elegans,neuron,RMDDL,26,False,0.01644640850635155,0.0122209745251876,-0.0040466428987331006,0.054312191405349125,0.6923076923076923,0.3076923076923077,0.3340769569046931
C. elegans,neuron,AUAL,8,False,0.011592393639796788,0.01057082647186325,0.001783528528501025,0.021726424347822924,0.75,0.25,0.3367137387406114
C. elegans,neuron,IL1DL,6,False,0.03218379431465571,0.018423959114614752,0.010277261292541525,0.04052531709496127,0.8333333333333334,0.16666666666666666,0.3369346906485412
C. elegans,neuron,RMDVL,20,False,0.0168149488781932,0.023347401389711198,-0.0011524293754161,0.058140179324550824,0.7,0.3,0.3373869721321716
C. elegans,neuron,URYDR,5,False,0.03058433628937058,0.0344553325006195,0.0100279085794089,0.0485868539758544,0.8,0.2,0.3402787878954743
C. elegans,neuron,URXL,17,False,0.03650926876915777,0.0364371942031954,0.0084350888489262,0.0553981995987322,0.9411764705882353,0.058823529411764705,0.3411785845952754
C. elegans,neuron,AIYR,12,False,0.018727531921883957,0.007888673881626,0.004999125755063,0.016733317061225376,0.8333333333333334,0.16666666666666666,0.3412661090469169
C. elegans,neuron,IL1VL,6,False,0.03602408546910976,0.0195958642670713,0.011299366455804125,0.06490351960042964,1.0,0.0,0.3422299283485191
C. elegans,neuron,SMDDR,27,False,0.025745361019322646,0.0123960940491215,-0.0060580887916890005,0.0661026291639793,0.5925925925925926,0.4074074074074074,0.3423127117237994
C. elegans,neuron,RIAL,36,False,-0.003452518097392876,0.0117787194979143,-0.01776944427922245,0.03721419439035832,0.6666666666666666,0.3333333333333333,0.3437955063724806
C. elegans,neuron,SAADR,13,False,0.037687708006952585,0.0177160583754681,-0.0007743854946294,0.0364371942031954,0.6923076923076923,0.3076923076923077,0.3438771251058332
C. elegans,neuron,ASGR,11,False,0.010977844367257619,0.0051962142656811,0.0044751802947890496,0.00736647706349075,0.9090909090909091,0.09090909090909091,0.3453050980281514
C. elegans,neuron,RMDR,29,False,0.00809906860946646,0.0050074741225411,-0.0158885729721027,0.0391478014843088,0.5517241379310345,0.4482758620689655,0.3467046481776618
C. elegans,neuron,AINL,7,False,0.015871001529939067,0.0200250838331974,0.00014670261573450014,0.03030203228940895,0.7142857142857143,0.2857142857142857,0.3467973651175783
C. elegans,neuron,URYDL,7,False,0.018515339291331256,0.0200250838331974,0.0032097870235302,0.0302298636673611,0.8571428571428571,0.14285714285714285,0.3472435338737615
C. elegans,neuron,ADLL,9,False,0.028046838357460056,0.0391478014843088,0.0036376592166037,0.0459618312876738,0.7777777777777778,0.2222222222222222,0.3476909634705747
C. elegans,neuron,SAAVL,16,False,0.0063927649450547745,0.00229799220576235,-0.005088335399396,0.008610591923220976,0.625,0.375,0.3481048315072776
C. elegans,neuron,ASKR,6,False,0.0023875022856424005,0.0025254212442637,0.00014369894451272502,0.004607967895615225,0.6666666666666666,0.3333333333333333,0.3484460807444399
