species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group,OO_fraction,OO_count,II_fraction,II_count,out_degree,DCA_recomputed,cell_class,OO_minus_II,oo_level,oo_source,OO_fraction_edgecheck,n_oo_cells,n_cells,big_group,PostDCA_from_oo_source,oo_node,Division,InterOutDegree,NN_fraction,ON_fraction,NO_fraction,n_subjects
C. elegans,AVEL,0.6137646863542995,-0.0709595308692543,0.0383452695813948,0.4592745296765282,1-hop induced structural neighborhood modularity Q,251.0,6.0,-0.9393560048051512,node_mean,,3.0,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command,0.0,0.0,0.8,16.0,20.0,-0.04588920595657902,Interneuron,-0.8,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVER,0.6500604998307045,-0.1345850558722683,0.0269708710480729,0.4598192064406438,1-hop induced structural neighborhood modularity Q,320.0,5.0,-0.7925196543731491,node_mean,,3.0,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command,0.28,7.0,0.0,0.0,25.0,0.018169440667509168,Interneuron,0.28,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVHL,-1.539286605141349,-0.0037987991755094,0.0136927022851149,0.3631997106388109,1-hop induced structural neighborhood modularity Q,120.0,5.0,0.2336148511815051,node_mean,,4.0,integrative relay,integrative relay,interneuron / integrative,interneurons,0.5652173913043478,13.0,0.0,0.0,23.0,0.003425589490492287,Interneuron,0.5652173913043478,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVJL,-1.0180439962076575,-0.0429685802419464,0.0227191287952742,0.2941566448083891,1-hop induced structural neighborhood modularity Q,182.0,6.0,-1.0379876668516748,node_mean,,4.0,integrative relay,integrative relay,interneuron / integrative,interneurons,0.0,0.0,0.4666666666666667,7.0,15.0,-0.0050489541893962014,Interneuron,-0.4666666666666667,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVJR,-1.250302221827035,-0.069185953467657,0.0337457433925746,0.239504463800185,1-hop induced structural neighborhood modularity Q,203.0,4.0,-0.3513978868378886,node_mean,,4.0,integrative relay,integrative relay,interneuron / integrative,interneurons,0.4,6.0,0.0,0.0,15.0,0.02366575705739005,Interneuron,0.4,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVKL,0.7325166341555567,0.0133027442023605,0.0023213032229562,0.4062744801512287,1-hop induced structural neighborhood modularity Q,70.0,4.0,-0.7205461547480597,node_mean,,4.0,integrative relay,integrative relay,interneuron / integrative,interneurons,0.6,9.0,0.0,0.0,15.0,0.002367153516685353,Interneuron,0.6,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVKR,0.1289578386435944,-0.0135462210341531,0.0070625858229213,0.370024052329843,1-hop induced structural neighborhood modularity Q,75.0,5.0,-0.7062192621272981,node_mean,,4.0,integrative relay,integrative relay,interneuron / integrative,interneurons,0.0,0.0,0.5294117647058824,9.0,17.0,-0.0011708820484423836,Interneuron,-0.5294117647058824,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVL,-0.1539672773458583,-0.0069589402806569,0.0202975222955369,0.4892679477790965,1-hop induced structural neighborhood modularity Q,79.0,6.0,-0.1541506798272583,node_mean,,4.0,integrative relay,integrative relay,interneuron / integrative,interneurons,0.0,0.0,0.5,9.0,18.0,-0.003229846207938719,Interneuron,-0.5,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AWAL,0.577224714145049,0.0234944405480528,0.06721188019773,0.1805368927110395,1-hop induced structural neighborhood modularity Q,18.0,3.0,1.0628942060660305,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.875,7.0,0.0,0.0,8.0,0.0010226965550776757,Sensory,0.875,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AWAR,-0.4659730577520273,0.0178208159686248,0.010277817085978,0.411385050847887,1-hop induced structural neighborhood modularity Q,58.0,3.0,1.452252328911688,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.7692307692307693,10.0,0.0,0.0,13.0,0.009157517687842941,Sensory,0.7692307692307693,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AWBL,0.2060838325176514,0.0439161015987454,0.0144368852043384,0.2960149572649572,1-hop induced structural neighborhood modularity Q,71.0,3.0,0.9501922835498364,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.625,10.0,0.0,0.0,16.0,0.01618125366253606,Sensory,0.625,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AWBR,-0.6363961913476046,0.0412973584883009,0.0262123003665272,0.3115502037054492,1-hop induced structural neighborhood modularity Q,63.0,3.0,0.7178397931503168,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.9333333333333333,14.0,0.0,0.0,15.0,0.004407860223208721,Sensory,0.9333333333333333,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AWCL,0.3832651283528502,0.0358871084858854,0.014307224674721,0.3206295091278699,1-hop induced structural neighborhood modularity Q,78.0,4.0,0.1590646946296872,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.5714285714285714,8.0,0.0,0.0,14.0,0.010027103081071295,Sensory,0.5714285714285714,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
