figure,panel,metric,region,division,n,mean,sem,std,median
figure_supply_2_proc,C,Modularity Q,rpRF,Hind,7,0.4936365165610577,0.013961630582110477,0.03693900241721828,0.4891284204470335
figure_supply_2_proc,D,$\log_{10}$(Out/In),OB,Tel,7,0.1582003464286438,0.11586612461906601,0.30655295111886716,0.1177830356563834
figure_supply_2_proc,D,$\log_{10}$(Out/In),rOB,Tel,7,-3.959951606430194,0.07894215130210273,0.2088613003057976,-3.928409745542919
figure_supply_2_proc,D,$\log_{10}$(Out/In),P,Tel,7,0.7058966470752593,0.07600718477407108,0.20109610876632714,0.7016558771458417
figure_supply_2_proc,D,$\log_{10}$(Out/In),PO,Tel,7,0.40737255970614866,0.058006266986101375,0.1534701569284404,0.3370860276274106
figure_supply_2_proc,D,$\log_{10}$(Out/In),SP,Tel,7,1.8402148881817488,0.11802235067087134,0.3122577890223827,1.7335936588924228
figure_supply_2_proc,D,$\log_{10}$(Out/In),HR,Di,6,-0.6111663423618173,0.04838363737709912,0.11851522347374507,-0.6098650461434176
figure_supply_2_proc,D,$\log_{10}$(Out/In),Hb,Di,7,5.806532607252073,0.2958645463534093,0.782784011412063,5.622496304144611
figure_supply_2_proc,D,$\log_{10}$(Out/In),Hi,Di,7,1.5993283597443972,0.5420997377048732,1.434261091760439,1.2394125378455432
figure_supply_2_proc,D,$\log_{10}$(Out/In),PT,Di,7,-0.8475967756816475,0.03788145343209913,0.10022490508300852,-0.8545246692181121
figure_supply_2_proc,D,$\log_{10}$(Out/In),PrT,Di,7,-0.4195461466094096,0.06380407412008876,0.16880971275448717,-0.4359191840588264
figure_supply_2_proc,D,$\log_{10}$(Out/In),Th,Di,7,-1.0166154197534218,0.02566346703974629,0.06789915156687165,-0.9941211925531462
figure_supply_2_proc,D,$\log_{10}$(Out/In),TS,Mes,7,-0.31048367125543574,0.16330959178421,0.4320765665724967,-0.4918456823724306
figure_supply_2_proc,D,$\log_{10}$(Out/In),TeO,Mes,7,-0.2175924585079046,0.0674243217737618,0.1783879877305711,-0.2033274500507977
figure_supply_2_proc,D,$\log_{10}$(Out/In),Cb,Hind,7,0.4372814745785421,0.040191523032743884,0.10633677475756483,0.4500389395946819
figure_supply_2_proc,D,$\log_{10}$(Out/In),MON,Hind,7,0.9083099979119252,0.03795977709651215,0.10043213002081665,0.9271913263435252
figure_supply_2_proc,D,$\log_{10}$(Out/In),MOS1,Hind,7,-0.4786620740229192,0.049075193109027894,0.12984075650895852,-0.4737625207745025
figure_supply_2_proc,D,$\log_{10}$(Out/In),MOS2,Hind,7,-0.25678747715096,0.02248597751213421,0.05949230448329799,-0.2330251354306952
figure_supply_2_proc,D,$\log_{10}$(Out/In),MOS3,Hind,7,1.7533912679126158,0.02603320234424843,0.06887737923350506,1.7223814789081011
figure_supply_2_proc,D,$\log_{10}$(Out/In),MOS4,Hind,7,1.2450244121694045,0.0381564979294281,0.10095260442241774,1.245007035585261
figure_supply_2_proc,D,$\log_{10}$(Out/In),MOS5,Hind,7,0.704180490539106,0.0379166333767316,0.10031798246764305,0.6896996542973665
figure_supply_2_proc,D,$\log_{10}$(Out/In),NX,Hind,7,-0.23508375663287798,0.06578500162615394,0.17405075430078304,-0.1938511386648138
figure_supply_2_proc,D,$\log_{10}$(Out/In),Ra,Hind,7,-1.1593430526917246,0.024647571598590816,0.06521134487153002,-1.179799861450518
figure_supply_2_proc,D,$\log_{10}$(Out/In),T,Hind,7,1.0904705844658151,0.03414025846278016,0.09032663358798461,1.1389826534713352
figure_supply_2_proc,D,$\log_{10}$(Out/In),aRF,Hind,7,0.5974968750454027,0.0677977764754626,0.17937605599721926,0.6234582231401998
figure_supply_2_proc,D,$\log_{10}$(Out/In),imRF,Hind,7,-0.1905072066896464,0.07711734177635769,0.20403330811061451,-0.1472258016456945
figure_supply_2_proc,D,$\log_{10}$(Out/In),pRF,Hind,7,-1.2347171946060145,0.06431747294531245,0.17016803836942176,-1.2276844113191725
figure_supply_2_proc,D,$\log_{10}$(Out/In),rCb,Hind,7,0.11224491429656296,0.051413253715488244,0.13602668342384946,0.1776794259132323
figure_supply_2_proc,D,$\log_{10}$(Out/In),rHR,Di,6,-2.219693947566515,0.052237556641333734,0.12795535918100226,-2.188000793612294
figure_supply_2_proc,D,$\log_{10}$(Out/In),rHb,Di,7,5.365977110644256,0.15717804816929434,0.4158540270144839,5.354077233432499
