predictor,raw_predictor,label,raw_label,outcome,method,n,sign_multiplier,r,abs_r,p,q_bh
TargetDCAEnrichmentZ_FCVAligned,TargetDCAEnrichmentZ,Target-cell DCA enrichment (FCV-aligned),Target-cell DCA enrichment,ZFCV,spearman,47,1.0,0.12014338575393155,0.12014338575393155,0.42116474468188636,0.647945761049056
TargetDCAEnrichmentZ_FCVAligned,TargetDCAEnrichmentZ,Target-cell DCA enrichment (FCV-aligned),Target-cell DCA enrichment,RawFCV,pearson,47,1.0,0.13396448172467007,0.13396448172467007,0.3693244820884236,0.5679619532522154
TargetDCAEnrichmentZ_FCVAligned,TargetDCAEnrichmentZ,Target-cell DCA enrichment (FCV-aligned),Target-cell DCA enrichment,RawFCV,spearman,47,1.0,0.14465772432932472,0.14465772432932472,0.33197973883480936,0.5585231154432942
TargetDCAEnrichmentZ_FCVAligned,TargetDCAEnrichmentZ,Target-cell DCA enrichment (FCV-aligned),Target-cell DCA enrichment,ZFCS,pearson,47,1.0,-0.2459605314293092,0.2459605314293092,0.09560877362030118,0.13658396231471598
TargetDCAEnrichmentZ_FCVAligned,TargetDCAEnrichmentZ,Target-cell DCA enrichment (FCV-aligned),Target-cell DCA enrichment,ZFCS,spearman,47,1.0,-0.1332099907493062,0.1332099907493062,0.37205128132940724,0.4960683751058763
TargetDCAEnrichmentZ_FCVAligned,TargetDCAEnrichmentZ,Target-cell DCA enrichment (FCV-aligned),Target-cell DCA enrichment,RawFCS,pearson,47,1.0,-0.28681276627989094,0.28681276627989094,0.05062746375312353,0.0778884057740362
TargetDCAEnrichmentZ_FCVAligned,TargetDCAEnrichmentZ,Target-cell DCA enrichment (FCV-aligned),Target-cell DCA enrichment,RawFCS,spearman,47,1.0,-0.16732192414431085,0.16732192414431085,0.26094519556673085,0.3727788508096155
MeanTargetLocalOutIn_FCVAligned,MeanTargetLocalOutIn,Target local out/in (FCV-aligned),Target local out/in,ZFCV,pearson,47,-1.0,0.13015133332769416,0.13015133332769416,0.38322853143344204,0.5895823560514493
MeanTargetLocalOutIn_FCVAligned,MeanTargetLocalOutIn,Target local out/in (FCV-aligned),Target local out/in,ZFCV,spearman,47,-1.0,0.10672987974098058,0.10672987974098058,0.47520019115066636,0.6788574159295234
MeanTargetLocalOutIn_FCVAligned,MeanTargetLocalOutIn,Target local out/in (FCV-aligned),Target local out/in,RawFCV,pearson,47,-1.0,0.12044150099411392,0.12044150099411392,0.4200048539018768,0.5679619532522154
MeanTargetLocalOutIn_FCVAligned,MeanTargetLocalOutIn,Target local out/in (FCV-aligned),Target local out/in,RawFCV,spearman,47,-1.0,0.09216003700277521,0.09216003700277521,0.5378169867659577,0.7170893156879435
MeanTargetLocalOutIn_FCVAligned,MeanTargetLocalOutIn,Target local out/in (FCV-aligned),Target local out/in,ZFCS,pearson,47,-1.0,-0.023568913208664888,0.023568913208664888,0.8750469537737794,0.8750469537737795
MeanTargetLocalOutIn_FCVAligned,MeanTargetLocalOutIn,Target local out/in (FCV-aligned),Target local out/in,ZFCS,spearman,47,-1.0,0.10360777058279372,0.10360777058279372,0.48828378133960504,0.5744515074583588
MeanTargetLocalOutIn_FCVAligned,MeanTargetLocalOutIn,Target local out/in (FCV-aligned),Target local out/in,RawFCS,pearson,47,-1.0,-0.00453509468355888,0.00453509468355888,0.9758645101354123,0.9758645101354123
MeanTargetLocalOutIn_FCVAligned,MeanTargetLocalOutIn,Target local out/in (FCV-aligned),Target local out/in,RawFCS,spearman,47,-1.0,0.13031914893617022,0.13031914893617022,0.3826101803531493,0.47826272544143666
MeanTargetLocal2StepPathCount_FCVAligned,MeanTargetLocal2StepPathCount,Target local 2-step paths (FCV-aligned),Target local 2-step paths,ZFCV,pearson,47,-1.0,0.0508555829108212,0.0508555829108212,0.7342482885466635,0.8158314317185149
MeanTargetLocal2StepPathCount_FCVAligned,MeanTargetLocal2StepPathCount,Target local 2-step paths (FCV-aligned),Target local 2-step paths,ZFCV,spearman,47,-1.0,-0.06313598519888992,0.06313598519888992,0.6733138942486807,0.8416423678108509
MeanTargetLocal2StepPathCount_FCVAligned,MeanTargetLocal2StepPathCount,Target local 2-step paths (FCV-aligned),Target local 2-step paths,RawFCV,pearson,47,-1.0,0.046113760699509745,0.046113760699509745,0.7582414511365866,0.8424905012628741
MeanTargetLocal2StepPathCount_FCVAligned,MeanTargetLocal2StepPathCount,Target local 2-step paths (FCV-aligned),Target local 2-step paths,RawFCV,spearman,47,-1.0,-0.06487049028677151,0.06487049028677151,0.6648615095149137,0.8310768868936422
MeanTargetLocal2StepPathCount_FCVAligned,MeanTargetLocal2StepPathCount,Target local 2-step paths (FCV-aligned),Target local 2-step paths,ZFCS,pearson,47,-1.0,-0.2252678440486051,0.2252678440486051,0.12790491111381494,0.1705398814850866
MeanTargetLocal2StepPathCount_FCVAligned,MeanTargetLocal2StepPathCount,Target local 2-step paths (FCV-aligned),Target local 2-step paths,ZFCS,spearman,47,-1.0,-0.16732192414431085,0.16732192414431085,0.26094519556673085,0.3727788508096155
MeanTargetLocal2StepPathCount_FCVAligned,MeanTargetLocal2StepPathCount,Target local 2-step paths (FCV-aligned),Target local 2-step paths,RawFCS,pearson,47,-1.0,-0.1920283847792321,0.1920283847792321,0.19597522470206247,0.26130029960275
MeanTargetLocal2StepPathCount_FCVAligned,MeanTargetLocal2StepPathCount,Target local 2-step paths (FCV-aligned),Target local 2-step paths,RawFCS,spearman,47,-1.0,-0.13806660499537465,0.13806660499537465,0.35471015541203643,0.4729468738827152
MeanTargetInterOutDegree_FCVAligned,MeanTargetInterOutDegree,Target inter out-degree (FCV-aligned),Target inter out-degree,ZFCV,pearson,47,-1.0,0.34350384391278416,0.34350384391278416,0.018080683359501908,0.047463482360175044
MeanTargetInterOutDegree_FCVAligned,MeanTargetInterOutDegree,Target inter out-degree (FCV-aligned),Target inter out-degree,ZFCV,spearman,47,-1.0,0.13656336725254395,0.13656336725254395,0.3600241473976761,0.647945761049056
MeanTargetInterOutDegree_FCVAligned,MeanTargetInterOutDegree,Target inter out-degree (FCV-aligned),Target inter out-degree,RawFCV,pearson,47,-1.0,0.35082277067519807,0.35082277067519807,0.015616725759532078,0.043658155277888425
MeanTargetInterOutDegree_FCVAligned,MeanTargetInterOutDegree,Target inter out-degree (FCV-aligned),Target inter out-degree,RawFCV,spearman,47,-1.0,0.14373265494912119,0.14373265494912119,0.3351138692659765,0.5585231154432942
MeanTargetInterOutDegree_FCVAligned,MeanTargetInterOutDegree,Target inter out-degree (FCV-aligned),Target inter out-degree,ZFCS,pearson,47,-1.0,-0.48020127332470264,0.48020127332470264,0.0006356289563266008,0.0018160827323617165
MeanTargetInterOutDegree_FCVAligned,MeanTargetInterOutDegree,Target inter out-degree (FCV-aligned),Target inter out-degree,ZFCS,spearman,47,-1.0,-0.3812442183163738,0.3812442183163738,0.008193729347806591,0.02048432336951648
