species,node,EdgeStdFCV,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,PostDCA,PreDCA,Modularity,LogOutIn,OO_fraction,class_order,class_label,class_short,fine_class,anatomy_group
Zebrafish,Hb,0.7924371237195381,-1.7073556462379729,1.8485231130082331,0.0291257222371149,0.6897712985463894,0.0238138945209611,-0.0001451404465394,0.5224302747701259,6.702295355676824,0.4301027244305493,6,state-dependent / modulatory,state-dependent / modulatory,habenular / hypothalamic / raphe state system,state system
Zebrafish,Hb,0.7924371237195381,-1.7073556462379729,1.8485231130082331,0.0291257222371149,0.6897712985463894,0.0131758857481709,-0.0004978782246833,0.5709469636276235,5.622496304144611,0.3444994290064712,6,state-dependent / modulatory,state-dependent / modulatory,habenular / hypothalamic / raphe state system,state system
Zebrafish,MON,-0.9627681697348036,-1.7351753964823595,0.3694731403072712,-0.4251937509146928,-0.7011211389533003,-0.0081498736819999,-0.0037052569870558,0.3816946286328523,1.0058150350700736,0.1641770264443805,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MON,-0.9627681697348036,-1.7351753964823595,0.3694731403072712,-0.4251937509146928,-0.7011211389533003,-0.0122596033579903,-0.0038772067435236,0.3910374011230573,0.9271913263435252,0.1085307121149086,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MON,-0.9627681697348036,-1.7351753964823595,0.3694731403072712,-0.4251937509146928,-0.7011211389533003,-0.009392155495924,0.0001679530621366,0.3797673855045439,0.7532915301205393,0.1487730796419884,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MON,-0.9627681697348036,-1.7351753964823595,0.3694731403072712,-0.4251937509146928,-0.7011211389533003,-0.0108860571231844,0.001810838330195,0.310557363768855,0.8980081831396923,0.1195638568627178,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MON,-0.9627681697348036,-1.7351753964823595,0.3694731403072712,-0.4251937509146928,-0.7011211389533003,-0.0124100185505509,-0.0014117768694663,0.360982071374571,0.9529906662317784,0.1339571480185246,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MON,-0.9627681697348036,-1.7351753964823595,0.3694731403072712,-0.4251937509146928,-0.7011211389533003,-0.0083785025878565,-0.00653636974829,0.2943033827208982,1.02114723528258,0.1382141888392967,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MON,-0.9627681697348036,-1.7351753964823595,0.3694731403072712,-0.4251937509146928,-0.7011211389533003,-0.0111828525728056,-0.0074190639881882,0.3281973342942779,0.7997260091952875,0.1354702608293088,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS1,0.5596060464553536,0.6964195772532633,-0.8397669867838887,1.039511699498348,-0.2000453311766014,-0.0128950749172522,0.0060380915834536,0.2839931983397028,-0.3583924096154478,0.2192074096931684,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS1,0.5596060464553536,0.6964195772532633,-0.8397669867838887,1.039511699498348,-0.2000453311766014,-0.0106631679650979,0.005260656038404,0.2831350075819316,-0.381481719062348,0.2084325722027246,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS1,0.5596060464553536,0.6964195772532633,-0.8397669867838887,1.039511699498348,-0.2000453311766014,-0.0106625481781517,0.0049054784219183,0.2988902576067585,-0.4737625207745025,0.1891702555268446,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS1,0.5596060464553536,0.6964195772532633,-0.8397669867838887,1.039511699498348,-0.2000453311766014,-0.0099541257317571,0.0060018396536724,0.2944041356439489,-0.5758721346711801,0.1998847178278811,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS1,0.5596060464553536,0.6964195772532633,-0.8397669867838887,1.039511699498348,-0.2000453311766014,-0.0096639890714432,0.0063573198747965,0.2699415974384612,-0.3701345061580254,0.2206601433067107,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS1,0.5596060464553536,0.6964195772532633,-0.8397669867838887,1.039511699498348,-0.2000453311766014,-0.0133963982199079,0.0064501621952827,0.2595047157471697,-0.4757234716459431,0.1958531809407418,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS2,-0.1291490978314234,0.8021520562842867,-1.5271413266456229,0.6156947231523004,0.1514940391057459,-0.0137643588580832,0.0089971950450604,0.642400253401164,-0.3378477557787159,0.1384560591220728,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS2,-0.1291490978314234,0.8021520562842867,-1.5271413266456229,0.6156947231523004,0.1514940391057459,-0.0120306921347963,0.00939456717382,0.6429102430555554,-0.3018223435539328,0.1606477234460095,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS2,-0.1291490978314234,0.8021520562842867,-1.5271413266456229,0.6156947231523004,0.1514940391057459,-0.0088681549382734,0.0078618102539114,0.6053314556520824,-0.3150641776087525,0.1544064713121003,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS2,-0.1291490978314234,0.8021520562842867,-1.5271413266456229,0.6156947231523004,0.1514940391057459,-0.0108553485607514,0.0123266349827198,0.6481418553688825,-0.204648438640551,0.1844185515193054,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS2,-0.1291490978314234,0.8021520562842867,-1.5271413266456229,0.6156947231523004,0.1514940391057459,-0.0096395674837345,0.0101158401988135,0.6574916246529068,-0.2330251354306952,0.1618223449390531,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS2,-0.1291490978314234,0.8021520562842867,-1.5271413266456229,0.6156947231523004,0.1514940391057459,-0.0074515959554193,0.0124537373426252,0.5455166429334286,-0.1964336319520648,0.1757466312751113,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS2,-0.1291490978314234,0.8021520562842867,-1.5271413266456229,0.6156947231523004,0.1514940391057459,-0.017577789871505,0.0120377250488065,0.4868080355430054,-0.2086708570920076,0.1304337440056375,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS3,0.88052138979676,0.4943150180626335,-0.3897729231405951,1.2101895584606168,-0.27239647616773,-0.0166393506344257,0.0011620437751158,0.4742031092100615,1.8163958166971603,0.2001361971545837,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS3,0.88052138979676,0.4943150180626335,-0.3897729231405951,1.2101895584606168,-0.27239647616773,-0.0203468062520584,0.0016646657700744,0.4763689772055499,1.7223814789081011,0.1852772836567138,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS3,0.88052138979676,0.4943150180626335,-0.3897729231405951,1.2101895584606168,-0.27239647616773,-0.0126345318254343,0.0027390368667071,0.5346181149846203,1.7084430786315528,0.1779784823696636,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS3,0.88052138979676,0.4943150180626335,-0.3897729231405951,1.2101895584606168,-0.27239647616773,-0.0155852509473334,0.0055727189605019,0.4896975434662602,1.7597056941703733,0.1958865516520492,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS3,0.88052138979676,0.4943150180626335,-0.3897729231405951,1.2101895584606168,-0.27239647616773,-0.0155389212531289,0.0001378627862991,0.4814461484527423,1.8732224326373867,0.1706765991587327,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS3,0.88052138979676,0.4943150180626335,-0.3897729231405951,1.2101895584606168,-0.27239647616773,-0.0164283968292685,0.0030569295629503,0.4090794950102029,1.6779879067933132,0.1855827821076038,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS3,0.88052138979676,0.4943150180626335,-0.3897729231405951,1.2101895584606168,-0.27239647616773,-0.0163561342331094,0.0034958210008534,0.4671204101656969,1.7156024675504211,0.1938571003725712,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS4,-0.5584815571297443,0.3697110705899095,-0.3782180882069096,0.1336713104537664,-0.0276395975240267,-0.0085777130945021,0.0001203396362036,0.5849726151171405,1.359648797061377,0.1430135582164655,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS4,-0.5584815571297443,0.3697110705899095,-0.3782180882069096,0.1336713104537664,-0.0276395975240267,-0.015983948357271,-9.547773367553678e-05,0.5282368446907643,1.2207125910277816,0.1437516741401442,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS4,-0.5584815571297443,0.3697110705899095,-0.3782180882069096,0.1336713104537664,-0.0276395975240267,-0.005634499315689,0.0007238885834105,0.5063377824477991,1.245007035585261,0.1482401026888258,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS4,-0.5584815571297443,0.3697110705899095,-0.3782180882069096,0.1336713104537664,-0.0276395975240267,-0.007043935239816,-0.0006821508683748,0.6425827370930949,1.3716877698405776,0.1391396260643122,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS4,-0.5584815571297443,0.3697110705899095,-0.3782180882069096,0.1336713104537664,-0.0276395975240267,-0.006616246393561,-7.690905813514227e-05,0.6267752600973538,1.1537084969849656,0.1408126166846811,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS4,-0.5584815571297443,0.3697110705899095,-0.3782180882069096,0.1336713104537664,-0.0276395975240267,-0.010927789368984,-0.0013298955933485,0.6574359089738935,1.0951872432086909,0.1372842191110507,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS5,-0.6158779212435738,-0.4775191937166247,0.5198001457314998,0.095514274209225,-0.6410127840989409,-0.0089172562314277,0.0016914416682765,0.508629175652095,0.8072747960377941,0.1526915244919144,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS5,-0.6158779212435738,-0.4775191937166247,0.5198001457314998,0.095514274209225,-0.6410127840989409,-0.0117434969239391,0.000837140660268,0.4991971651001549,0.6665060144610625,0.1513945678681577,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS5,-0.6158779212435738,-0.4775191937166247,0.5198001457314998,0.095514274209225,-0.6410127840989409,-0.0087511360007752,0.0036146783609035,0.47123142430725,0.6517421710427548,0.1493880540258862,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,MOS5,-0.6158779212435738,-0.4775191937166247,0.5198001457314998,0.095514274209225,-0.6410127840989409,-0.0076799326031148,-0.0002707224565474,0.5850137334624708,0.8613237457105629,0.166806665405945,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
