ratio_L2_to_L3_over_L3_to_L2,log2_ratio,trial,layer,node,global_node_idx,FCV,PostDCA,PreDCA
0.2,-2.321928094887362,0,3,L3_079,159,-0.645009243410918,,
0.2,-2.321928094887362,1,2,L2_000,0,-0.7656742965713235,-0.6436045175116654,1.3180709166481601
0.2,-2.321928094887362,1,2,L2_001,1,0.2449281795355974,-1.3114188536168572,1.0240679434706472
0.2,-2.321928094887362,1,2,L2_002,2,1.6609963283320515,-1.8503555466768324,0.5204860226682876
0.2,-2.321928094887362,1,2,L2_003,3,-1.4885887655115952,-1.8286759148006935,0.8171471765667275
0.2,-2.321928094887362,1,2,L2_004,4,-0.7788090576097513,-0.5086474794479974,-0.35803736128584784
0.2,-2.321928094887362,1,2,L2_005,5,-0.28659663884456976,-0.3644296023852296,0.8315759061648493
0.2,-2.321928094887362,1,2,L2_006,6,0.779543899217325,-1.4690842805659863,-0.8419800037554516
0.2,-2.321928094887362,1,2,L2_007,7,-0.6253034896249955,-1.5732722971926179,0.13027391001338026
0.2,-2.321928094887362,1,2,L2_008,8,0.22704254845473315,-0.41374445680156346,0.4792273794127908
0.2,-2.321928094887362,1,2,L2_009,9,0.23925981676630845,-1.3544491192068646,0.6569492576952469
0.2,-2.321928094887362,1,2,L2_010,10,-0.646055108142461,-1.6051973032522913,0.6499609342827654
0.2,-2.321928094887362,1,2,L2_011,11,-0.2021377111487331,-1.5383199755725063,0.8378868043093651
0.2,-2.321928094887362,1,2,L2_012,12,1.361517400413733,-1.0740098299435505,-1.3874530155006604
0.2,-2.321928094887362,1,2,L2_013,13,-1.0637324826634136,-1.4793096485913646,-0.7578574737341324
0.2,-2.321928094887362,1,2,L2_014,14,1.7268773219410058,-1.15751187646631,0.12125699209704772
0.2,-2.321928094887362,1,2,L2_015,15,-1.5580490924497143,-0.9027058717852051,0.27055895391111423
0.2,-2.321928094887362,1,2,L2_016,16,1.3885973702463938,-0.6837136306413448,-0.4811825106777553
0.2,-2.321928094887362,1,2,L2_017,17,0.10707275459835248,-1.7335746858805785,1.1780335016464618
0.2,-2.321928094887362,1,2,L2_018,18,2.281083294542302,-0.6602878292877538,1.7746641454955514
0.2,-2.321928094887362,1,2,L2_019,19,-0.7160617052643674,-0.8624140143626721,0.14832710757893175
0.2,-2.321928094887362,1,2,L2_020,20,-0.31987183290470267,-1.4228050441017777,-1.1176384105384112
0.2,-2.321928094887362,1,2,L2_021,21,-2.017694747555971,-1.3736523160572252,1.154261041590113
0.2,-2.321928094887362,1,2,L2_022,22,-0.2653141125343656,-0.7032795774355344,-1.2900937351703008
0.2,-2.321928094887362,1,2,L2_023,23,-0.8397654986640886,0.34536633163852287,-0.03845998458125918
0.2,-2.321928094887362,1,2,L2_024,24,0.9957916524797435,0.6261194843170685,0.12682938038814437
0.2,-2.321928094887362,1,2,L2_025,25,0.4998315157437365,-1.3392732161981462,0.8924489807127715
0.2,-2.321928094887362,1,2,L2_026,26,-0.8838717393997413,-0.9924934338507428,0.3345777398165237
0.2,-2.321928094887362,1,2,L2_027,27,0.526826314704111,-0.5705383492371926,-1.460634198217792
