species,node,edge_source_dca_mean,n_edge_values,EdgeStdFCV_raw,EdgeStdFCV_zscore,EdgeStdFCV,PreDCA,predca_for_plot,predca_mode,class_order,class_label,fine_class,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,IL1VL,0.0360240854691097,6,0.3422299283485191,-0.0340689282916831,-0.0340689282916831,0.0182299836093793,0.0182299836093793,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,6.0,0.03602408546910977
C. elegans,SMDDR,0.0257453610193226,27,0.3423127117237994,0.2208586436124091,0.2208586436124091,0.0624276012326744,0.0624276012326744,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,27.0,0.025745361019322646
C. elegans,RIAL,-0.0034525180973928,36,0.3437955063724806,-0.135090286859046,-0.135090286859046,0.0354208623053253,0.0354208623053253,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,36.0,-0.0034525180973928775
C. elegans,SAADR,0.0376877080069525,13,0.3438771251058332,0.2322001526469293,0.2322001526469293,0.0181883324272895,0.0181883324272895,signed_PreDCA,1,sensorimotor output,other interneuron,3,sensorimotor output,13.0,0.03768770800695258
C. elegans,ASGR,0.0109778443672576,11,0.3453050980281514,0.2448407951202664,0.2448407951202664,0.0077206012072321,0.0077206012072321,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,11.0,0.010977844367257619
C. elegans,RMDR,0.0080990686094664,29,0.3467046481776618,-0.1332431479505051,-0.1332431479505051,0.0671156029426061,0.0671156029426061,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,29.0,0.00809906860946646
C. elegans,AINL,0.015871001529939,7,0.3467973651175783,0.364216525156013,0.364216525156013,0.0163902618178463,0.0163902618178463,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,7.0,0.01587100152993907
C. elegans,URYDL,0.0185153392913312,7,0.3472435338737615,0.0412032610255655,0.0412032610255655,0.0173016284798848,0.0173016284798848,signed_PreDCA,0,sensory input,other sensory neuron,2,other sensory,7.0,0.018515339291331256
C. elegans,ADLL,0.02804683835746,9,0.3476909634705747,-0.239247555449999,-0.239247555449999,0.0364596536509274,0.0364596536509274,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,9.0,0.028046838357460056
C. elegans,SAAVL,0.0063927649450547,16,0.3481048315072776,0.0230766114130068,0.0230766114130068,0.0015495056890599,0.0015495056890599,signed_PreDCA,1,sensorimotor output,other interneuron,3,sensorimotor output,16.0,0.0063927649450547745
C. elegans,ASKR,0.0023875022856424,6,0.3484460807444399,-0.111505099651864,-0.111505099651864,0.0013774354586308,0.0013774354586308,signed_PreDCA,0,sensory input,other sensory neuron,2,other sensory,6.0,0.0023875022856424
C. elegans,IL2R,0.0423939078930646,6,0.348731709966598,0.0582789090686981,0.0582789090686981,0.0434480259894494,0.0434480259894494,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,6.0,0.04239390789306469
C. elegans,OLQDR,0.0163782691829992,10,0.3490827651493454,0.2260494381273295,0.2260494381273295,0.0168308790072615,0.0168308790072615,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,10.0,0.01637826918299922
C. elegans,AWBL,0.022197969774319,9,0.3496812336769264,0.2047008282547995,0.2047008282547995,0.0144368852043384,0.0144368852043384,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,9.0,0.02219796977431907
C. elegans,RIR,0.032467869829504,21,0.3497767747231379,0.4412472230242808,0.4412472230242808,0.0268520614976934,0.0268520614976934,signed_PreDCA,2,integrative relay,integrative interneuron,4,integrative relay,21.0,0.03246786982950404
C. elegans,ADLR,0.0044010480505304,17,0.3504312155228328,0.3055545828186178,0.3055545828186178,0.0130064956132039,0.0130064956132039,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,17.0,0.004401048050530489
C. elegans,IL1DR,-0.0214876816589383,10,0.3518539766122726,0.336274529306921,0.336274529306921,0.002643577751553,0.002643577751553,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,10.0,-0.021487681658938367
C. elegans,AWCL,0.0171409663370577,12,0.3522118805826735,0.3811994243559774,0.3811994243559774,0.014307224674721,0.014307224674721,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,12.0,0.01714096633705774
C. elegans,SMDVR,0.011684819111583,24,0.3524284855523643,0.4941198092821146,0.4941198092821146,0.0623310882135218,0.0623310882135218,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,24.0,0.011684819111583067
C. elegans,RMED,-0.0217334798756642,14,0.353374317071198,0.3662126499559935,0.3662126499559935,-0.0362869662245754,-0.0362869662245754,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,14.0,-0.021733479875664263
C. elegans,URYVL,0.0163897252891639,6,0.3534950362461274,0.3340720082360938,0.3340720082360938,0.0151823209815332,0.0151823209815332,signed_PreDCA,0,sensory input,other sensory neuron,2,other sensory,6.0,0.01638972528916392
C. elegans,SMDDL,0.0273271591399575,25,0.3540710862406407,0.4548987190159245,0.4548987190159245,0.0629079901978605,0.0629079901978605,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,25.0,0.027327159139957532
