species,node,edge_target_dca_mean,n_edge_values,EdgeStdFCV_raw,PostDCA,EdgeStdFCV_zscore,EdgeStdFCV,class_order,class_label,fine_class,postdca_for_plot,postdca_mode,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,RIR,0.0391485944561385,26,0.3497767747231379,0.0444727599698452,0.4412472230242808,0.4412472230242808,2,integrative relay,integrative interneuron,0.0444727599698452,signed_PostDCA,4,integrative relay,26.0,0.039148594456138504
C. elegans,AWBL,0.0180632680835219,16,0.3496812336769264,0.0439161015987454,0.2047008282547995,0.2047008282547995,0,sensory input,chemosensory,0.0439161015987454,signed_PostDCA,0,olfactory / chemosensory,16.0,0.018063268083521967
C. elegans,OLQDR,0.0074742458302321,8,0.3490827651493454,-0.0663809698349078,0.2260494381273295,0.2260494381273295,0,sensory input,mechanosensory,-0.0663809698349078,signed_PostDCA,2,other sensory,8.0,0.007474245830232175
C. elegans,IL2R,0.0218162728915186,15,0.348731709966598,0.0348992853034019,0.0582789090686981,0.0582789090686981,0,sensory input,mechanosensory,0.0348992853034019,signed_PostDCA,2,other sensory,15.0,0.02181627289151864
C. elegans,ASKR,0.0082803298417684,12,0.3484460807444399,-0.0025467418219997,-0.111505099651864,-0.111505099651864,0,sensory input,other sensory neuron,-0.0025467418219997,signed_PostDCA,2,other sensory,12.0,0.008280329841768441
C. elegans,SAAVL,-0.0265608976785956,20,0.3481048315072776,-0.1512837405952934,0.0230766114130068,0.0230766114130068,1,sensorimotor output,other interneuron,-0.1512837405952934,signed_PostDCA,3,sensorimotor output,20.0,-0.026560897678595673
C. elegans,ADLL,-0.0151838735980534,24,0.3476909634705747,-0.0220011079190079,-0.239247555449999,-0.239247555449999,0,sensory input,chemosensory,-0.0220011079190079,signed_PostDCA,0,olfactory / chemosensory,24.0,-0.015183873598053454
C. elegans,URYDL,-0.0560074658603932,11,0.3472435338737615,-0.1082198964317172,0.0412032610255655,0.0412032610255655,0,sensory input,other sensory neuron,-0.1082198964317172,signed_PostDCA,2,other sensory,11.0,-0.05600746586039322
C. elegans,AINL,-0.0050875362648879,14,0.3467973651175783,-0.0027406274381846,0.364216525156013,0.364216525156013,3,associative / learning,associative interneuron,-0.0027406274381846,signed_PostDCA,5,associative / learning,14.0,-0.005087536264887936
C. elegans,RMDR,-0.0016450748860082,13,0.3467046481776618,0.0535552292500498,-0.1332431479505051,-0.1332431479505051,1,sensorimotor output,head motor / command,0.0535552292500498,signed_PostDCA,3,sensorimotor output,13.0,-0.0016450748860082887
C. elegans,ASGR,0.018622005888566,5,0.3453050980281514,-0.0032007243294031,0.2448407951202664,0.2448407951202664,0,sensory input,chemosensory,-0.0032007243294031,signed_PostDCA,0,olfactory / chemosensory,5.0,0.01862200588856608
