neuron,n_recordings,EdgeStdFCV,ProfileEuclideanFCV,ProfileCorrDistFCV,ProfileTransitionEuclideanFCV,ProfileTransitionCorrDistFCV,EdgeStdFCV_z,ProfileEuclideanFCV_z,ProfileCorrDistFCV_z,ProfileTransitionEuclideanFCV_z,ProfileTransitionCorrDistFCV_z,cell_class,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
ASIL,5,0.32627105763290876,0.32202732114675825,0.7064256541518338,0.27077849084063665,0.364109800989801,2.2490549209089963,2.074163907166927,2.4912605548321993,2.6893217343583378,2.5877338448624267,Sensory,0.0064067584551045,0.0008741515947876,0.0055326068603168,0.0315659701679216,0.0068757177773339,0.4771212547196624,0.8823529411764706,15,17,5,43.0,17.0
ASIR,6,0.28313196439062355,0.2779996947722209,0.6430144765614335,0.22283469926721453,0.3200942463869871,0.3725039175367328,0.2495540672616319,1.9443309877514061,0.33402478508528854,1.7424203938059193,Sensory,0.0023453824989051,0.0010609364426987,0.0012844460562063,0.0078253633617394,0.019999902767536,0.414973347970818,0.75,9,12,4,27.0,6.0
ASKL,3,0.2972864598280905,0.29016878806886787,0.6235415971914867,0.2409256135691615,0.34762333315780736,0.988224615842251,0.7538703159483616,1.7763748972271725,1.2227629066767538,2.271113205987103,Sensory,0.007345707190727,0.0017085185066872,0.0056371886840398,-0.0047926839170861,0.0005737168630485,-0.2218487496163564,0.6,3,5,9,48.0,50.0
ASKR,3,0.2951651753762536,0.28826899512665777,0.5412365732308707,0.2432310732282644,0.3205217796182462,0.8959487201905868,0.6751383655440604,1.0664834737603923,1.336021410511217,1.7506311182740797,Sensory,0.0055622002435106,0.0003257506440948,0.0052364495994157,-0.0025467418219997,0.0013774354586308,0.2688453122925799,0.75,9,12,6,55.0,26.0
AUAL,16,0.2688459026299601,0.2661428246280275,0.3210847069002155,0.21314639853837938,0.19240722593620005,-0.2489399171921163,-0.2418229093560846,-0.8323547046127887,-0.14192474667671326,-0.709793531165897,Interneuron,0.0658202295119713,0.0104220299132391,0.0553981995987322,-0.0233954949985874,0.017243294126609,0.1597008428675118,0.6666666666666666,8,12,8,89.0,50.0
AUAR,7,0.24696558318993375,0.24658728099167934,0.3235056854400847,0.19099360505314203,0.1745178608484325,-1.2007340397222646,-1.0522512763101097,-0.811473453151485,-1.2302076129525559,-1.0533566437066586,Interneuron,0.0460950570197639,0.0160066944328904,0.0300883625868734,0.0397360446297983,0.0408527209317716,0.0,0.8,8,10,10,80.0,51.0
AVAL,16,0.2896178041654092,0.2954889760639911,0.20446991136335674,0.2314055463871147,0.12586804908658647,0.6546380149951302,0.9743515947588387,-1.838172323237884,0.7550780520817449,-1.9876704481049436,Interneuron,0.0756057126166989,0.4231965727357935,-0.3475908601190945,-0.0295817709980234,0.086423045263819,-0.1727115184043006,0.0,0,42,63,266.0,660.0
AVAR,14,0.2834598990382225,0.29085597425273846,0.1834885274395782,0.22905062278272362,0.11525636932913015,0.3867690781078208,0.7823489503010504,-2.0191394596678713,0.6393895719017972,-2.191466486078947,Interneuron,0.067829516212605,0.4453720848818003,-0.3775425686691953,-0.0148945580873344,0.084795255557525,-0.1176394978668005,0.0,0,44,58,282.0,678.0
AVBL,4,0.3003332407954744,0.30332881556127766,0.3545845547112073,0.24139888354369132,0.198668356814414,1.1207596195171903,1.2992532410192899,-0.5434142061585863,1.2460128685719358,-0.5895492630216275,Interneuron,0.0578532517101885,0.1226636938945907,-0.0648104421844022,-0.1313519933416719,0.0403147503096905,-0.3203351508593678,0.0,0,21,45,63.0,338.0
AVBR,2,0.2658818216289947,0.2676474419418442,0.261693570821896,0.2254366871310602,0.18077394064698263,-0.37787747147028866,-0.17946797945985218,-1.3446108963140655,0.4618505968669025,-0.9332093809419806,Interneuron,0.0588792872396612,0.1086862488278349,-0.0498069615881737,-0.1595382746962184,0.0233360646545585,-0.380211241711606,0.0,0,19,47,56.0,335.0
