neuron,n_recordings,EdgeStdFCV,ProfileEuclideanFCV,ProfileCorrDistFCV,ProfileTransitionEuclideanFCV,ProfileTransitionCorrDistFCV,EdgeStdFCV_z,ProfileEuclideanFCV_z,ProfileCorrDistFCV_z,ProfileTransitionEuclideanFCV_z,ProfileTransitionCorrDistFCV_z,cell_class,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
AVBR,2,0.2601219685354469,0.2616194973553764,0.21194151032296055,0.20701957987211414,0.1386006672473441,-0.5550516239557217,-0.3786614089093008,-1.5655898282820762,-0.4716423180901037,-1.5603465762145285,Interneuron,0.0588792872396612,0.1086862488278349,-0.0498069615881737,-0.1595382746962184,0.0233360646545585,-0.380211241711606,0.0,0,19,47,56.0,335.0
AVDL,16,0.22512431370926342,0.22055900106867735,0.42295363912038175,0.17715880072760454,0.2359531578800494,-1.9533478705401155,-1.9594403332783048,0.17206052827008156,-1.8664375124025774,0.21134975886483975,Interneuron,0.1711132878387832,0.1472306594486241,0.023882628390159,-0.1976308639164232,0.0793065898466523,-0.1931245983544615,0.1666666666666666,4,24,38,137.0,256.0
AVDR,12,0.2337758238867199,0.2294507361317117,0.45677926255743356,0.18140947537145558,0.2454948917984097,-1.6076854463432388,-1.6171194005118195,0.4506090029997978,-1.667888755950607,0.38499765326993923,Interneuron,0.2109015101611936,0.122497850142825,0.0884036600183685,-0.2185806460870022,0.0660833213264959,-0.1810546785872313,0.2857142857142857,8,28,43,153.0,226.0
AVEL,12,0.2771922767719461,0.2844162594844939,0.17035447240315302,0.22521156158611924,0.112167460938232,0.1269754448202592,0.4989860716750001,-1.9080522814175416,0.3781040514509656,-2.041398621600184,Interneuron,0.0559524348760565,0.1018416408326355,-0.045889205956579,-0.0709595308692544,0.0383452695813948,-0.3212333817522681,0.0,0,20,43,119.0,306.0
AVER,14,0.28090423114492963,0.2868824893232998,0.1862280809026843,0.22932991875643566,0.12627988066007084,0.2752828640748837,0.5939329063311906,-1.7773357125350944,0.5704722666881032,-1.784569832343877,Interneuron,0.1165810914730219,0.0984116508055127,0.0181694406675091,-0.1345850558722683,0.0269708710480729,-0.2382391658045257,0.28,7,25,44,133.0,295.0
AVHL,6,0.2358917710909719,0.23295952793674754,0.4023085874157461,0.1887758079754371,0.22458165178856415,-1.5231448950299913,-1.482035204337696,0.0020519052584725274,-1.3238078039426995,0.004402247448538799,Interneuron,0.0078174186638886,0.0043918291733963,0.0034255894904922,-0.0037987991755094,0.0136927022851149,0.1249387366082999,0.5652173913043478,13,23,17,47.0,37.0
AVJL,17,0.24253824897069745,0.23782550020334384,0.42535838357483147,0.1911967079073804,0.23637485324336993,-1.2575915281434382,-1.2947012190908782,0.19186320540767385,-1.210727714014546,0.21902409903692338,Interneuron,0.0154912636029921,0.0205402177923883,-0.0050489541893962,-0.0429685802419464,0.0227191287952743,-0.2272437815030625,0.0,0,15,26,33.0,95.0
AVJR,14,0.2361120212552372,0.23118366887130673,0.4803724986312061,0.18292119644296748,0.24895933515575921,-1.5143450203089184,-1.5504036079657797,0.644895441933213,-1.597276355802522,0.44804628776726957,Interneuron,0.0425623608135501,0.01889660375616,0.02366575705739,-0.069185953467657,0.0337457433925746,-0.2272437815030625,0.4,6,15,26,56.0,80.0
AVKL,2,0.3067044187401492,0.3059403478461883,0.38034107922098725,0.251859119037133,0.24064598709007132,1.3061035191942747,1.327637167629837,-0.17884693057968643,1.622809854101579,0.2967535144186407,Interneuron,0.0085562418742166,0.0061890883575313,0.0023671535166853,0.0133027442023605,0.0023213032229562,0.1249387366082999,0.6,9,15,11,35.0,73.0
AVKR,2,0.28587244701998415,0.28108319029430995,0.42171197241026603,0.2287033282360491,0.2366467443457103,0.4737829534326518,0.3706669814107839,0.16183560606372405,0.5412042612416478,0.22397218476566502,Interneuron,0.0095719807319577,0.0107428627804001,-0.0011708820484423,-0.0135462210341531,0.0070625858229213,0.1413291527964693,0.0,0,17,12,37.0,76.0
AVL,5,0.2619929976450993,0.2604814778122951,0.37439709202094995,0.20354270161482607,0.2014050347036175,-0.4802965298138201,-0.4224737704711774,-0.22779469266497424,-0.6340470919577204,-0.4173838546025905,Interneuron,0.0052896913366199,0.0085195375445586,-0.0032298462079387,-0.0069589402806569,0.020297522295537,0.048304679574555,0.0,0,18,16,53.0,62.0
AWAL,11,0.32459313394058237,0.32149073772657155,0.4720022666999391,0.2592413112219418,0.2620713534914591,2.0208292185365315,1.9263081728946665,0.5759679514487507,1.967631606174167,0.686668994591462,Sensory,0.0079828330617611,0.0069601365066834,0.0010226965550776,0.0234944405480528,0.06721188019773,0.255272505103306,0.875,7,8,4,54.0,18.0
AWAR,10,0.28801603951945703,0.28486396030183425,0.47474577750514557,0.23073093352909796,0.263147068303816,0.5594280448282302,0.5162220059786892,0.5985603140586196,0.6359135822885189,0.7062456893247662,Sensory,0.0113393480534379,0.002181830365595,0.0091575176878429,0.0178208159686248,0.010277817085978,0.0669467896306132,0.7692307692307693,10,13,11,93.0,21.0
AWBL,18,0.279440824813182,0.27514267151227867,0.4645099281161442,0.21506281631017996,0.247309507396244,0.21681392976847336,0.14196426859200975,0.5142697690469257,-0.09594322878499716,0.41802143913680884,Sensory,0.0189004009329195,0.0027191472703835,0.016181253662536,0.0439161015987454,0.0144368852043384,0.2304489213782739,0.625,10,16,9,74.0,28.0
AWBR,10,0.27650620626965117,0.27117522512018355,0.5322942111275386,0.2194479778205237,0.2887097667106936,0.0995641850368316,-0.01077756863267633,1.0724622493306528,0.10888740109614163,1.1714555549159131,Sensory,0.0075623116824749,0.0031544514592662,0.0044078602232087,0.041297358488301,0.0262123003665272,0.2498774732165999,0.9333333333333332,14,15,8,40.0,19.0
AWCL,17,0.2917049800173063,0.2878009443565922,0.4885242153465993,0.2286196062884339,0.25701515759986016,0.7068159677514742,0.6292923026100803,0.712023495366643,0.5372936141139536,0.5946524095778704,Sensory,0.0166118555703561,0.0065847524892848,0.0100271030810712,0.0358871084858854,0.014307224674721,0.0621479067488444,0.5714285714285714,8,14,12,67.0,57.0
AWCR,10,0.26470042974550223,0.2633255637091697,0.4491180159277901,0.2063140864905712,0.23125249166183534,-0.37212379187815814,-0.3129799393814908,0.38751989047577556,-0.5045958714261785,0.12580337934115648,Sensory,0.0147067377552298,0.0095105234895486,0.0051962142656811,0.0309666411000358,0.0160595269847306,0.0791812460476248,0.7647058823529411,13,17,14,111.0,62.0
BAGL,7,0.31142478045940464,0.3099968370909942,0.3414766049387393,0.2406205128737891,0.19056333809834308,1.4947008439960898,1.4838070458589006,-0.498889517603649,1.0978552374942356,-0.6146894809586376,Sensory,0.0384290659426616,0.0079133639507171,0.0305157019919445,0.0300907143407224,0.0161606786518617,0.3010299956639812,0.5789473684210527,11,19,9,78.0,36.0
CEPDL,18,0.25882780898734165,0.25549991007193873,0.34693080824088024,0.2036865922838584,0.20181320832983304,-0.6067584725312741,-0.6142580401811069,-0.45397504578306547,-0.6273259674786356,-0.4099555935181311,Sensory,0.0319287869299071,0.0119037030967097,0.0200250838331974,0.0018778648141152,0.0311642340545338,0.109144469425068,0.6538461538461539,17,26,20,175.0,41.0
