Subject,RegionID,Region,NRegionNeurons,NLocalEdges,NIter,Delta,MeanCellDCA,Rank1PostDCA,Rank1PreDCA,InterOutEdges,InterInEdges,NEdges,NNeurons,MaxIter,Tol,RawFile
12,37,rCb,1685,8599,19,3.3537419377726795e-10,-0.0013767891371121851,-0.020959075839097403,0.0006335989592044178,124236,134814,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,38,rMOS1,1483,69892,14,9.233314613472387e-10,0.004892369990173256,-0.015580735740267335,0.007104684103571005,451979,672215,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,39,rMOS2,554,2341,17,4.3445649469926646e-10,0.0015820266832650375,-0.002717421403598234,0.010836652736699162,62169,299125,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,40,rMOS3,1496,21243,40,8.630869722912719e-10,0.00929475083592076,-0.015798816011523272,-0.006458256226818298,850383,252353,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,41,rMOS4,1113,4225,47,7.731443855997734e-10,0.001033879912415807,-0.007264828762225335,0.0019011104413411007,319153,89504,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,42,rMOS5,1530,21437,13,6.417482021467699e-10,0.0034168040347464426,-0.00716079589624476,-0.0035011333147442793,402814,94585,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,43,rIPN,30,38,113,8.616463272001815e-10,0.0024849981470908286,-0.023538030440227634,0.0011142509454170277,3607,9571,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,44,rIO,4,0,0,,,0.020934100339506854,,15,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,45,rHc,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,46,rRa,201,404,18,4.243441756695073e-10,-0.0025154009258826133,-0.03132734563020053,0.005887051287661026,33118,102444,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,47,rT,1437,12101,67,8.188399378479995e-10,0.0016536662992407518,-0.023881251738203206,-0.0018451255021339752,775216,414130,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,48,raRF,208,310,27,5.683006803181023e-10,-0.0030598920125927986,-0.02303195810802624,-0.00446522655070746,75164,50987,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
