Subject,RegionID,Region,NRegionNeurons,NLocalEdges,NIter,Delta,MeanCellDCA,Rank1PostDCA,Rank1PreDCA,InterOutEdges,InterInEdges,NEdges,NNeurons,MaxIter,Tol,RawFile,RawFC,RawFCV,ZFC,ZFCV,LegacyPostDCA,LegacyPreDCA
12,34,VR,92,131,84,9.442792065111695e-10,-0.0015363554601141743,-0.012717422020622517,-0.0008823461571406051,341,6,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,-0.0052718312467853,-0.0647268038433217
12,35,NX,381,2285,30,6.073128074077615e-10,0.00010127616490811468,-0.007913485268878776,0.00546363208058685,63099,66025,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3014227840364185,0.2422767502693731,1.1908787962663672,-1.7380840392362835,0.0464769660515795,-0.0464715157932836
12,36,rMON,1120,18981,17,3.3817835743850237e-10,-0.005896385670997741,-0.015156229147522814,0.0004101664268373526,229418,148250,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1178326315131141,0.3084115015060463,-0.8251260602103714,0.0888449494208253,0.0040435497452286,-0.0881547341776423
12,37,rCb,1685,8599,19,3.3537419377726795e-10,-0.0013767891371121851,-0.020959075839097403,0.0006335989592044178,124236,134814,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.2680007601592217,0.2863504854461771,0.8238712987310226,-0.520576103888525,0.0001070459768962,-0.1444183902513726
12,38,rMOS1,1483,69892,14,9.233314613472387e-10,0.004892369990173256,-0.015580735740267335,0.007104684103571005,451979,672215,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3149465103957727,0.2734615570267492,1.339382937928649,-0.8766242710300659,0.072632880681607,-0.0846293407653579
12,39,rMOS2,554,2341,17,4.3445649469926646e-10,0.0015820266832650375,-0.002717421403598234,0.010836652736699162,62169,299125,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3337310625224005,0.244318409282305,1.545656247218563,-1.6816845523412598,0.127686630692602,-0.0120994534487278
12,40,rMOS3,1496,21243,40,8.630869722912719e-10,0.00929475083592076,-0.015798816011523272,-0.006458256226818298,850383,252353,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.2688575028746937,0.2943386976752378,0.8332791969837539,-0.2999069970132309,-0.045061935829775,-0.1228232535275151
12,41,rMOS4,1113,4225,47,7.731443855997734e-10,0.001033879912415807,-0.007264828762225335,0.0019011104413411007,319153,89504,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3280292307965642,0.2562015165576757,1.4830443898171155,-1.3534215325106451,0.0492066323482901,-0.0433078779726875
12,42,rMOS5,1530,21437,13,6.417482021467699e-10,0.0034168040347464426,-0.00716079589624476,-0.0035011333147442793,402814,94585,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.2431517090944552,0.2968027122871676,0.5510036806323404,-0.2318402145904848,-0.0295513846849093,-0.0450923533231567
12,43,rIPN,30,38,113,8.616463272001815e-10,0.0024849981470908286,-0.023538030440227634,0.0011142509454170277,3607,9571,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0150396001939413,-0.0597573884804922
